Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/23 13:54:59.4,463,93,1,
2,2018/11/23 13:54:59.5,464,93,1,
3,2018/11/23 13:54:59.6,465,92,1,
4,2018/11/23 13:54:59.7,463,87,1,
5,2018/11/23 13:54:59.8,459,67,1,No data
6,2018/11/23 13:54:59.9,448,48,1,
7,2018/11/23 13:55:00.0,408,38,1,
8,2018/11/23 13:55:00.1,345,48,1,
9,2018/11/23 13:55:00.2,280,63,1,
10,2018/11/23 13:55:00.3,241,75,1,No data
11,2018/11/23 13:55:00.4,226,85,1,
12,2018/11/23 13:55:00.5,222,89,1,
13,2018/11/23 13:55:00.6,221,90,1,
14,2018/11/23 13:55:00.7,219,87,1,
15,2018/11/23 13:55:00.8,219,83,1,No data
16,2018/11/23 13:55:00.9,220,79,1,
17,2018/11/23 13:55:01.0,221,77,1,
18,2018/11/23 13:55:01.1,220,77,1,
19,2018/11/23 13:55:01.2,220,76,1,
20,2018/11/23 13:55:01.3,219,72,1,No data
21,2018/11/23 13:55:01.4,219,85,1,
22,2018/11/23 13:55:01.5,214,100,1,
23,2018/11/23 13:55:01.6,206,123,1,
24,2018/11/23 13:55:01.7,195,127,1,
25,2018/11/23 13:55:01.8,188,126,1,No data
26,2018/11/23 13:55:01.9,185,119,1,
27,2018/11/23 13:55:02.0,185,112,1,
28,2018/11/23 13:55:02.1,183,107,1,
29,2018/11/23 13:55:02.2,181,102,1,
30,2018/11/23 13:55:02.3,180,95,1,No data
31,2018/11/23 13:55:02.4,181,88,1,
32,2018/11/23 13:55:02.5,182,84,1,
33,2018/11/23 13:55:02.6,182,84,1,
34,2018/11/23 13:55:02.7,186,83,1,
35,2018/11/23 13:55:02.8,197,88,1,No data
36,2018/11/23 13:55:02.9,207,106,1,
37,2018/11/23 13:55:03.0,214,128,1,
38,2018/11/23 13:55:03.1,214,147,1,
39,2018/11/23 13:55:03.2,214,154,1,
40,2018/11/23 13:55:03.3,214,158,1,No data
41,2018/11/23 13:55:03.4,216,159,1,
42,2018/11/23 13:55:03.5,217,157,1,
43,2018/11/23 13:55:03.6,217,154,1,
44,2018/11/23 13:55:03.7,216,150,1,
45,2018/11/23 13:55:03.8,216,146,1,No data
46,2018/11/23 13:55:03.9,217,142,1,
47,2018/11/23 13:55:04.0,217,139,1,
48,2018/11/23 13:55:04.1,215,132,1,
49,2018/11/23 13:55:04.2,217,122,1,
50,2018/11/23 13:55:04.3,279,119,1,No data
51,2018/11/23 13:55:04.4,363,122,1,
52,2018/11/23 13:55:04.5,439,129,1,
53,2018/11/23 13:55:04.6,451,120,1,
54,2018/11/23 13:55:04.7,440,111,1,
55,2018/11/23 13:55:04.8,434,107,1,No data
56,2018/11/23 13:55:04.9,433,110,1,
57,2018/11/23 13:55:05.0,433,114,1,
58,2018/11/23 13:55:05.1,432,114,1,
59,2018/11/23 13:55:05.2,431,114,1,
60,2018/11/23 13:55:05.3,431,114,1,No data
61,2018/11/23 13:55:05.4,432,116,1,
62,2018/11/23 13:55:05.5,434,118,1,
63,2018/11/23 13:55:05.6,408,119,1,
64,2018/11/23 13:55:05.7,354,119,1,
65,2018/11/23 13:55:05.8,312,112,1,No data
66,2018/11/23 13:55:05.9,335,113,1,
67,2018/11/23 13:55:06.0,396,117,1,
68,2018/11/23 13:55:06.1,450,131,1,
69,2018/11/23 13:55:06.2,469,141,1,
70,2018/11/23 13:55:06.3,479,147,1,No data
71,2018/11/23 13:55:06.4,484,148,1,
72,2018/11/23 13:55:06.5,485,147,1,
73,2018/11/23 13:55:06.6,485,147,1,
74,2018/11/23 13:55:06.7,484,149,1,
75,2018/11/23 13:55:06.8,484,152,1,No data
76,2018/11/23 13:55:06.9,486,156,1,
77,2018/11/23 13:55:07.0,487,161,1,
78,2018/11/23 13:55:07.1,484,148,1,
79,2018/11/23 13:55:07.2,479,130,1,
80,2018/11/23 13:55:07.3,458,102,1,No data
81,2018/11/23 13:55:07.4,408,85,1,
82,2018/11/23 13:55:07.5,352,66,1,
83,2018/11/23 13:55:07.6,305,54,1,
84,2018/11/23 13:55:07.7,288,48,1,
85,2018/11/23 13:55:07.8,279,46,1,No data
86,2018/11/23 13:55:07.9,277,46,1,
87,2018/11/23 13:55:08.0,277,46,1,
88,2018/11/23 13:55:08.1,277,49,1,
89,2018/11/23 13:55:08.2,276,51,1,
90,2018/11/23 13:55:08.3,277,51,1,No data
91,2018/11/23 13:55:08.4,278,51,1,
92,2018/11/23 13:55:08.5,277,54,1,
93,2018/11/23 13:55:08.6,266,56,1,
94,2018/11/23 13:55:08.7,256,48,1,
95,2018/11/23 13:55:08.8,249,33,1,No data
96,2018/11/23 13:55:08.9,251,21,1,
97,2018/11/23 13:55:09.0,251,17,1,
98,2018/11/23 13:55:09.1,250,18,1,
99,2018/11/23 13:55:09.2,248,19,1,
100,2018/11/23 13:55:09.3,247,23,1,No data
101,2018/11/23 13:55:09.4,248,24,1,
102,2018/11/23 13:55:09.5,249,23,1,
103,2018/11/23 13:55:09.6,249,24,1,
104,2018/11/23 13:55:09.7,246,30,1,
105,2018/11/23 13:55:09.8,294,62,1,No data
106,2018/11/23 13:55:09.9,354,90,1,
107,2018/11/23 13:55:10.0,426,113,1,
108,2018/11/23 13:55:10.1,455,115,1,
109,2018/11/23 13:55:10.2,474,128,1,
110,2018/11/23 13:55:10.3,485,146,1,No data
111,2018/11/23 13:55:10.4,491,162,1,
112,2018/11/23 13:55:10.5,494,169,1,
113,2018/11/23 13:55:10.6,494,170,1,
114,2018/11/23 13:55:10.7,494,169,1,
115,2018/11/23 13:55:10.8,493,166,1,No data
116,2018/11/23 13:55:10.9,494,165,1,
117,2018/11/23 13:55:11.0,495,164,1,
118,2018/11/23 13:55:11.1,495,165,1,
119,2018/11/23 13:55:11.2,484,164,1,
120,2018/11/23 13:55:11.3,415,153,1,No data
121,2018/11/23 13:55:11.4,327,132,1,
122,2018/11/23 13:55:11.5,249,109,1,
123,2018/11/23 13:55:11.6,247,83,1,
124,2018/11/23 13:55:11.7,271,66,1,
125,2018/11/23 13:55:11.8,298,58,1,No data
126,2018/11/23 13:55:11.9,309,62,1,
127,2018/11/23 13:55:12.0,313,68,1,
128,2018/11/23 13:55:12.1,314,75,1,
129,2018/11/23 13:55:12.2,313,87,1,
130,2018/11/23 13:55:12.3,314,107,1,No data
131,2018/11/23 13:55:12.4,317,128,1,
132,2018/11/23 13:55:12.5,318,144,1,
133,2018/11/23 13:55:12.6,325,148,1,
134,2018/11/23 13:55:12.7,357,128,1,
135,2018/11/23 13:55:12.8,367,96,1,No data
136,2018/11/23 13:55:13.0,222,8,1,
137,2018/11/23 13:55:13.1,221,4,1,
138,2018/11/23 13:55:13.2,220,13,1,
139,2018/11/23 13:55:13.3,219,16,1,
140,2018/11/23 13:55:13.4,219,16,1,No data
141,2018/11/23 13:55:13.4,222,8,1,
142,2018/11/23 13:55:13.5,221,4,1,
143,2018/11/23 13:55:13.6,220,13,1,
144,2018/11/23 13:55:13.7,219,16,1,
145,2018/11/23 13:55:13.8,219,16,1,No data
146,2018/11/23 13:55:14.0,237,198,1,
147,2018/11/23 13:55:14.1,228,241,1,
148,2018/11/23 13:55:14.2,223,256,1,
149,2018/11/23 13:55:14.3,221,244,1,
150,2018/11/23 13:55:14.4,221,238,1,No data
151,2018/11/23 13:55:14.5,223,248,1,
152,2018/11/23 13:55:14.6,224,261,1,
153,2018/11/23 13:55:14.7,223,276,1,
154,2018/11/23 13:55:14.8,222,281,1,
155,2018/11/23 13:55:14.9,222,280,1,No data
156,2018/11/23 13:55:15.0,223,264,1,
157,2018/11/23 13:55:15.1,226,241,1,
158,2018/11/23 13:55:15.2,241,223,1,
159,2018/11/23 13:55:15.3,255,211,1,
160,2018/11/23 13:55:15.4,258,188,1,No data
161,2018/11/23 13:55:15.5,240,138,1,
162,2018/11/23 13:55:15.6,221,87,1,
163,2018/11/23 13:55:15.7,208,52,1,
164,2018/11/23 13:55:15.8,204,47,1,
165,2018/11/23 13:55:15.9,203,53,1,No data
166,2018/11/23 13:55:16.0,204,73,1,
167,2018/11/23 13:55:16.1,205,98,1,
168,2018/11/23 13:55:16.2,204,127,1,
169,2018/11/23 13:55:16.3,203,152,1,
170,2018/11/23 13:55:16.4,203,170,1,No data
171,2018/11/23 13:55:16.5,204,178,1,
172,2018/11/23 13:55:16.6,206,175,1,
173,2018/11/23 13:55:16.7,248,160,1,
174,2018/11/23 13:55:16.8,307,142,1,
175,2018/11/23 13:55:16.9,380,121,1,No data
176,2018/11/23 13:55:17.0,420,108,1,
177,2018/11/23 13:55:17.1,442,95,1,
178,2018/11/23 13:55:17.2,449,88,1,
179,2018/11/23 13:55:17.3,450,84,1,
