Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/23 13:44:57.3,47,25,1,
2,2018/11/23 13:44:57.4,48,20,1,
3,2018/11/23 13:44:57.5,49,23,1,
4,2018/11/23 13:44:57.6,48,28,1,
5,2018/11/23 13:44:57.7,47,31,1,No data
6,2018/11/23 13:44:57.8,47,31,1,
7,2018/11/23 13:44:57.9,48,26,1,
8,2018/11/23 13:44:58.0,48,25,1,
9,2018/11/23 13:44:58.1,48,24,1,
10,2018/11/23 13:44:58.2,46,22,1,No data
11,2018/11/23 13:44:58.3,46,21,1,
12,2018/11/23 13:44:58.4,44,24,1,
13,2018/11/23 13:44:58.5,44,24,1,
14,2018/11/23 13:44:58.6,44,28,1,
15,2018/11/23 13:44:58.7,45,25,1,No data
16,2018/11/23 13:44:58.8,46,23,1,
17,2018/11/23 13:44:58.9,47,18,1,
18,2018/11/23 13:44:59.0,48,18,1,
19,2018/11/23 13:44:59.1,47,22,1,
20,2018/11/23 13:44:59.2,47,22,1,No data
21,2018/11/23 13:44:59.3,47,17,1,
22,2018/11/23 13:44:59.4,48,10,1,
23,2018/11/23 13:44:59.5,48,11,1,
24,2018/11/23 13:44:59.6,47,9,1,
25,2018/11/23 13:44:59.7,46,14,1,No data
26,2018/11/23 13:44:59.8,46,20,1,
27,2018/11/23 13:44:59.9,47,25,1,
28,2018/11/23 13:45:00.0,48,20,1,
29,2018/11/23 13:45:00.1,47,16,1,
30,2018/11/23 13:45:00.2,47,17,1,No data
31,2018/11/23 13:45:00.3,47,21,1,
32,2018/11/23 13:45:00.4,47,20,1,
33,2018/11/23 13:45:00.5,47,19,1,
34,2018/11/23 13:45:00.6,46,19,1,
35,2018/11/23 13:45:00.7,45,24,1,No data
36,2018/11/23 13:45:00.8,45,17,1,
37,2018/11/23 13:45:00.9,47,16,1,
38,2018/11/23 13:45:01.0,47,8,1,
39,2018/11/23 13:45:01.1,47,15,1,
40,2018/11/23 13:45:01.2,46,14,1,No data
41,2018/11/23 13:45:01.3,46,27,1,
42,2018/11/23 13:45:01.4,47,34,1,
43,2018/11/23 13:45:01.5,48,38,1,
44,2018/11/23 13:45:01.6,47,33,1,
45,2018/11/23 13:45:01.7,46,18,1,No data
46,2018/11/23 13:45:01.8,46,16,1,
47,2018/11/23 13:45:01.9,47,13,1,
48,2018/11/23 13:45:02.0,47,22,1,
49,2018/11/23 13:45:02.1,45,32,1,
50,2018/11/23 13:45:02.2,45,34,1,No data
51,2018/11/23 13:45:02.3,46,33,1,
52,2018/11/23 13:45:02.4,47,22,1,
53,2018/11/23 13:45:02.5,47,17,1,
54,2018/11/23 13:45:02.6,46,18,1,
55,2018/11/23 13:45:02.7,45,20,1,No data
56,2018/11/23 13:45:02.8,45,23,1,
57,2018/11/23 13:45:02.9,47,24,1,
58,2018/11/23 13:45:03.0,47,25,1,
59,2018/11/23 13:45:03.1,47,24,1,
60,2018/11/23 13:45:03.2,46,21,1,No data
61,2018/11/23 13:45:03.3,47,15,1,
62,2018/11/23 13:45:03.4,48,12,1,
63,2018/11/23 13:45:03.5,48,9,1,
64,2018/11/23 13:45:03.6,47,14,1,
65,2018/11/23 13:45:03.7,46,21,1,No data
66,2018/11/23 13:45:03.8,47,28,1,
67,2018/11/23 13:45:03.9,48,29,1,
68,2018/11/23 13:45:04.0,49,28,1,
69,2018/11/23 13:45:04.1,47,23,1,
70,2018/11/23 13:45:04.2,82,15,1,No data
71,2018/11/23 13:45:04.3,145,7,1,
72,2018/11/23 13:45:04.4,216,2,1,
73,2018/11/23 13:45:04.5,248,2,1,
