Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/23 14:15:03.6,350,323,1,
2,2018/11/23 14:15:03.7,349,339,1,
3,2018/11/23 14:15:03.8,347,332,1,
4,2018/11/23 14:15:03.9,347,316,1,
5,2018/11/23 14:15:04.0,347,299,1,No data
6,2018/11/23 14:15:04.1,346,279,1,
7,2018/11/23 14:15:04.2,345,261,1,
8,2018/11/23 14:15:04.3,343,244,1,
9,2018/11/23 14:15:04.4,344,231,1,
10,2018/11/23 14:15:04.5,350,204,1,No data
11,2018/11/23 14:15:04.6,370,182,1,
12,2018/11/23 14:15:04.7,397,160,1,
13,2018/11/23 14:15:04.8,433,142,1,
14,2018/11/23 14:15:04.9,453,116,1,
15,2018/11/23 14:15:05.0,463,91,1,No data
16,2018/11/23 14:15:05.1,457,77,1,
17,2018/11/23 14:15:05.2,453,69,1,
18,2018/11/23 14:15:05.3,450,67,1,
19,2018/11/23 14:15:05.4,448,73,1,
20,2018/11/23 14:15:05.5,448,81,1,No data
21,2018/11/23 14:15:05.6,448,87,1,
22,2018/11/23 14:15:05.7,448,86,1,
23,2018/11/23 14:15:05.8,447,77,1,
24,2018/11/23 14:15:05.9,446,66,1,
25,2018/11/23 14:15:06.0,455,61,1,No data
26,2018/11/23 14:15:06.1,467,67,1,
27,2018/11/23 14:15:06.2,480,74,1,
28,2018/11/23 14:15:06.3,484,83,1,
29,2018/11/23 14:15:06.4,494,84,1,
30,2018/11/23 14:15:06.5,504,86,1,No data
31,2018/11/23 14:15:06.6,514,84,1,
32,2018/11/23 14:15:06.7,516,82,1,
33,2018/11/23 14:15:06.8,516,83,1,
34,2018/11/23 14:15:06.9,517,89,1,
35,2018/11/23 14:15:07.0,517,99,1,No data
36,2018/11/23 14:15:07.1,517,107,1,
37,2018/11/23 14:15:07.2,516,110,1,
38,2018/11/23 14:15:07.3,514,105,1,
39,2018/11/23 14:15:07.4,514,98,1,
40,2018/11/23 14:15:07.5,509,92,1,No data
41,2018/11/23 14:15:07.6,490,95,1,
42,2018/11/23 14:15:07.7,461,105,1,
43,2018/11/23 14:15:07.8,436,105,1,
44,2018/11/23 14:15:07.9,429,91,1,
45,2018/11/23 14:15:08.0,434,73,1,No data
46,2018/11/23 14:15:08.1,439,69,1,
47,2018/11/23 14:15:08.2,440,75,1,
48,2018/11/23 14:15:08.3,440,80,1,
49,2018/11/23 14:15:08.4,439,81,1,
50,2018/11/23 14:15:08.5,439,79,1,No data
51,2018/11/23 14:15:08.7,440,74,1,
52,2018/11/23 14:15:08.8,439,68,1,
53,2018/11/23 14:15:08.9,438,62,1,
54,2018/11/23 14:15:09.0,441,58,1,
55,2018/11/23 14:15:09.1,437,63,1,No data
56,2018/11/23 14:15:09.1,421,75,1,
57,2018/11/23 14:15:09.2,400,90,1,
58,2018/11/23 14:15:09.3,384,94,1,
59,2018/11/23 14:15:09.4,377,91,1,
60,2018/11/23 14:15:09.5,371,87,1,No data
61,2018/11/23 14:15:09.6,367,96,1,
62,2018/11/23 14:15:09.7,365,115,1,
63,2018/11/23 14:15:09.8,364,142,1,
64,2018/11/23 14:15:09.9,366,161,1,
65,2018/11/23 14:15:10.0,367,173,1,No data
66,2018/11/23 14:15:10.1,368,176,1,
67,2018/11/23 14:15:10.2,366,176,1,
