Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/02 12:04:12.1,71,20,1,
2,2018/11/02 12:04:12.2,71,16,1,
3,2018/11/02 12:04:12.3,72,17,1,
4,2018/11/02 12:04:12.4,72,21,1,
5,2018/11/02 12:04:12.5,71,21,1,No data
6,2018/11/02 12:04:12.7,71,19,1,
7,2018/11/02 12:04:12.8,72,22,1,
8,2018/11/02 12:04:12.9,73,26,1,
9,2018/11/02 12:04:13.0,73,27,1,
10,2018/11/02 12:04:13.1,72,24,1,No data
11,2018/11/02 12:04:13.2,72,21,1,
12,2018/11/02 12:04:13.3,72,18,1,
13,2018/11/02 12:04:13.4,73,18,1,
14,2018/11/02 12:04:13.5,72,19,1,
15,2018/11/02 12:04:13.6,71,19,1,No data
16,2018/11/02 12:04:13.6,70,17,1,
17,2018/11/02 12:04:13.7,70,19,1,
18,2018/11/02 12:04:13.8,71,22,1,
19,2018/11/02 12:04:13.9,72,26,1,
20,2018/11/02 12:04:14.0,71,25,1,No data
21,2018/11/02 12:04:14.2,70,22,1,
22,2018/11/02 12:04:14.3,70,25,1,
23,2018/11/02 12:04:14.4,71,27,1,
24,2018/11/02 12:04:14.5,71,35,1,
25,2018/11/02 12:04:14.6,70,32,1,No data
26,2018/11/02 12:04:14.7,68,36,1,
27,2018/11/02 12:04:14.8,68,34,1,
28,2018/11/02 12:04:14.9,69,32,1,
29,2018/11/02 12:04:15.0,70,30,1,
30,2018/11/02 12:04:15.1,69,28,1,No data
31,2018/11/02 12:04:15.2,69,28,1,
32,2018/11/02 12:04:15.3,69,23,1,
33,2018/11/02 12:04:15.4,70,23,1,
34,2018/11/02 12:04:15.5,69,23,1,
35,2018/11/02 12:04:15.6,68,25,1,No data
36,2018/11/02 12:04:15.7,67,24,1,
37,2018/11/02 12:04:15.8,68,24,1,
38,2018/11/02 12:04:15.9,69,20,1,
39,2018/11/02 12:04:16.0,72,14,1,
40,2018/11/02 12:04:16.1,254,10,1,No data
41,2018/11/02 12:04:16.2,1125,22,1,
42,2018/11/02 12:04:16.3,1125,22,1,
43,2018/11/02 12:04:16.4,305,13,1,
