Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/01 18:34:38.0,73,5,1,
2,2018/11/01 18:34:38.1,73,1,1,
3,2018/11/01 18:34:38.2,73,0,1,
4,2018/11/01 18:34:38.3,72,1,1,
5,2018/11/01 18:34:38.4,72,2,1,No data
6,2018/11/01 18:34:38.5,73,1,1,
7,2018/11/01 18:34:38.6,73,2,1,
8,2018/11/01 18:34:38.7,73,4,1,
9,2018/11/01 18:34:38.8,73,9,1,
10,2018/11/01 18:34:38.9,72,11,1,No data
11,2018/11/01 18:34:39.0,73,7,1,
12,2018/11/01 18:34:39.1,72,5,1,
13,2018/11/01 18:34:39.2,72,2,1,
14,2018/11/01 18:34:39.3,72,4,1,
15,2018/11/01 18:34:39.4,72,3,1,No data
16,2018/11/01 18:34:39.6,73,6,1,
17,2018/11/01 18:34:39.7,74,14,1,
18,2018/11/01 18:34:39.8,74,15,1,
19,2018/11/01 18:34:39.9,72,12,1,
20,2018/11/01 18:34:40.0,72,9,1,No data
21,2018/11/01 18:34:40.1,73,10,1,
22,2018/11/01 18:34:40.2,73,17,1,
23,2018/11/01 18:34:40.3,73,17,1,
24,2018/11/01 18:34:40.4,72,15,1,
25,2018/11/01 18:34:40.5,72,10,1,No data
26,2018/11/01 18:34:40.6,72,15,1,
27,2018/11/01 18:34:40.7,73,17,1,
28,2018/11/01 18:34:40.8,73,21,1,
29,2018/11/01 18:34:40.9,73,19,1,
30,2018/11/01 18:34:41.0,72,17,1,No data
31,2018/11/01 18:34:41.1,74,12,1,
32,2018/11/01 18:34:41.2,74,11,1,
33,2018/11/01 18:34:41.3,73,10,1,
34,2018/11/01 18:34:41.4,71,15,1,
35,2018/11/01 18:34:41.5,71,19,1,No data
36,2018/11/01 18:34:41.6,72,18,1,
37,2018/11/01 18:34:41.7,76,13,1,
38,2018/11/01 18:34:41.8,148,3,1,
39,2018/11/01 18:34:41.9,227,11,1,
40,2018/11/01 18:34:42.0,251,15,1,No data
41,2018/11/01 18:34:42.1,196,6,1,
42,2018/11/01 18:34:42.2,135,2,1,
43,2018/11/01 18:34:42.3,132,4,1,
44,2018/11/01 18:34:42.4,141,3,1,
45,2018/11/01 18:34:42.5,148,1,1,No data
46,2018/11/01 18:34:42.6,151,3,1,
47,2018/11/01 18:34:42.7,152,6,1,
48,2018/11/01 18:34:42.8,150,7,1,
49,2018/11/01 18:34:42.9,150,6,1,
50,2018/11/01 18:34:43.0,149,5,1,No data
51,2018/11/01 18:34:43.1,150,0,1,
52,2018/11/01 18:34:43.2,149,1,1,
53,2018/11/01 18:34:43.3,148,2,1,
54,2018/11/01 18:34:43.4,147,3,1,
55,2018/11/01 18:34:43.5,147,1,1,No data
56,2018/11/01 18:34:43.6,148,2,1,
57,2018/11/01 18:34:43.7,148,2,1,
58,2018/11/01 18:34:43.8,147,0,1,
59,2018/11/01 18:34:43.9,146,2,1,
60,2018/11/01 18:34:44.0,146,4,1,No data
61,2018/11/01 18:34:44.1,147,1,1,
62,2018/11/01 18:34:44.2,147,5,1,
63,2018/11/01 18:34:44.3,146,4,1,
64,2018/11/01 18:34:44.4,144,5,1,
65,2018/11/01 18:34:44.5,145,5,1,No data
66,2018/11/01 18:34:44.6,147,8,1,
67,2018/11/01 18:34:44.7,157,8,1,
68,2018/11/01 18:34:44.8,158,5,1,
69,2018/11/01 18:34:44.9,154,1,1,
70,2018/11/01 18:34:45.0,144,2,1,No data
71,2018/11/01 18:34:45.1,147,4,1,
72,2018/11/01 18:34:45.2,155,4,1,
73,2018/11/01 18:34:45.3,157,4,1,
74,2018/11/01 18:34:45.4,149,5,1,
75,2018/11/01 18:34:45.5,139,6,1,No data
76,2018/11/01 18:34:45.6,132,6,1,
77,2018/11/01 18:34:45.7,129,7,1,
78,2018/11/01 18:34:45.8,114,4,1,
79,2018/11/01 18:34:45.9,105,6,1,
80,2018/11/01 18:34:46.0,137,5,1,No data
81,2018/11/01 18:34:46.1,196,4,1,
82,2018/11/01 18:34:46.2,232,1,1,
83,2018/11/01 18:34:46.3,216,3,1,
84,2018/11/01 18:34:46.4,180,3,1,
85,2018/11/01 18:34:46.5,155,0,1,No data
86,2018/11/01 18:34:46.6,140,5,1,
87,2018/11/01 18:34:46.7,130,12,1,
88,2018/11/01 18:34:46.8,126,18,1,
89,2018/11/01 18:34:46.9,124,18,1,
90,2018/11/01 18:34:47.0,124,14,1,No data
91,2018/11/01 18:34:47.1,125,15,1,
92,2018/11/01 18:34:47.2,126,13,1,
93,2018/11/01 18:34:47.3,125,19,1,
94,2018/11/01 18:34:47.4,122,22,1,
95,2018/11/01 18:34:47.5,122,18,1,No data
96,2018/11/01 18:34:47.6,122,10,1,
97,2018/11/01 18:34:47.7,123,1,1,
98,2018/11/01 18:34:47.8,121,2,1,
99,2018/11/01 18:34:47.9,119,5,1,
100,2018/11/01 18:34:48.0,119,5,1,No data
101,2018/11/01 18:34:48.1,122,3,1,
102,2018/11/01 18:34:48.2,125,4,1,
103,2018/11/01 18:34:48.3,124,4,1,
104,2018/11/01 18:34:48.4,122,4,1,
105,2018/11/01 18:34:48.5,121,3,1,No data
106,2018/11/01 18:34:48.6,122,3,1,
107,2018/11/01 18:34:48.7,123,3,1,
108,2018/11/01 18:34:48.8,124,0,1,
109,2018/11/01 18:34:48.9,126,1,1,
110,2018/11/01 18:34:49.0,128,0,1,No data
111,2018/11/01 18:34:49.1,128,3,1,
112,2018/11/01 18:34:49.2,125,6,1,
113,2018/11/01 18:34:49.3,122,4,1,
114,2018/11/01 18:34:49.4,121,2,1,
115,2018/11/01 18:34:49.5,121,10,1,No data
116,2018/11/01 18:34:49.6,122,21,1,
