Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/01 18:24:02.7,69,8,1,
2,2018/11/01 18:24:02.8,69,9,1,
3,2018/11/01 18:24:02.9,69,15,1,
4,2018/11/01 18:24:03.0,70,20,1,
5,2018/11/01 18:24:03.1,70,26,1,No data
6,2018/11/01 18:24:03.2,69,28,1,
7,2018/11/01 18:24:03.3,69,24,1,
8,2018/11/01 18:24:03.4,69,17,1,
9,2018/11/01 18:24:03.5,70,14,1,
10,2018/11/01 18:24:03.6,71,16,1,No data
11,2018/11/01 18:24:03.7,70,13,1,
12,2018/11/01 18:24:03.8,69,12,1,
13,2018/11/01 18:24:03.9,69,13,1,
14,2018/11/01 18:24:04.0,70,15,1,
15,2018/11/01 18:24:04.1,71,17,1,No data
16,2018/11/01 18:24:04.2,71,15,1,
17,2018/11/01 18:24:04.3,70,20,1,
18,2018/11/01 18:24:04.4,70,22,1,
19,2018/11/01 18:24:04.5,70,22,1,
20,2018/11/01 18:24:04.6,70,18,1,No data
21,2018/11/01 18:24:04.7,69,16,1,
22,2018/11/01 18:24:04.8,69,15,1,
23,2018/11/01 18:24:04.9,69,17,1,
24,2018/11/01 18:24:05.0,70,21,1,
25,2018/11/01 18:24:05.1,70,26,1,No data
26,2018/11/01 18:24:05.2,69,28,1,
27,2018/11/01 18:24:05.3,68,29,1,
28,2018/11/01 18:24:05.4,69,23,1,
29,2018/11/01 18:24:05.5,70,18,1,
30,2018/11/01 18:24:05.6,71,11,1,No data
31,2018/11/01 18:24:05.7,70,11,1,
32,2018/11/01 18:24:05.8,69,7,1,
33,2018/11/01 18:24:05.9,69,1,1,
34,2018/11/01 18:24:06.0,70,4,1,
35,2018/11/01 18:24:06.1,70,3,1,No data
36,2018/11/01 18:24:06.2,70,4,1,
37,2018/11/01 18:24:06.3,69,10,1,
38,2018/11/01 18:24:06.4,69,12,1,
39,2018/11/01 18:24:06.5,70,14,1,
40,2018/11/01 18:24:06.6,70,12,1,No data
41,2018/11/01 18:24:06.7,69,11,1,
42,2018/11/01 18:24:06.8,68,7,1,
43,2018/11/01 18:24:06.9,69,8,1,
44,2018/11/01 18:24:07.0,71,8,1,
45,2018/11/01 18:24:07.1,71,8,1,No data
46,2018/11/01 18:24:07.2,69,12,1,
47,2018/11/01 18:24:07.3,68,15,1,
48,2018/11/01 18:24:07.4,69,16,1,
49,2018/11/01 18:24:07.5,71,13,1,
50,2018/11/01 18:24:07.6,71,16,1,No data
51,2018/11/01 18:24:07.7,91,15,1,
52,2018/11/01 18:24:07.8,167,4,1,
53,2018/11/01 18:24:07.9,233,8,1,
54,2018/11/01 18:24:08.0,231,14,1,
55,2018/11/01 18:24:08.1,165,6,1,No data
56,2018/11/01 18:24:08.2,117,1,1,
57,2018/11/01 18:24:08.3,114,6,1,
58,2018/11/01 18:24:08.4,122,10,1,
59,2018/11/01 18:24:08.5,122,10,1,
60,2018/11/01 18:24:08.6,124,10,1,No data
61,2018/11/01 18:24:08.7,122,10,1,
62,2018/11/01 18:24:08.8,123,13,1,
63,2018/11/01 18:24:08.9,124,15,1,
64,2018/11/01 18:24:09.0,125,19,1,
65,2018/11/01 18:24:09.1,125,24,1,No data
66,2018/11/01 18:24:09.2,124,27,1,
67,2018/11/01 18:24:09.3,123,31,1,
68,2018/11/01 18:24:09.4,125,32,1,
69,2018/11/01 18:24:09.5,127,30,1,
70,2018/11/01 18:24:09.6,126,20,1,No data
71,2018/11/01 18:24:09.7,124,12,1,
72,2018/11/01 18:24:09.8,122,12,1,
73,2018/11/01 18:24:09.9,123,15,1,
74,2018/11/01 18:24:10.0,123,20,1,
75,2018/11/01 18:24:10.1,123,19,1,No data
76,2018/11/01 18:24:10.2,121,18,1,
77,2018/11/01 18:24:10.3,121,9,1,
78,2018/11/01 18:24:10.4,121,5,1,
79,2018/11/01 18:24:10.5,121,2,1,
80,2018/11/01 18:24:10.6,124,5,1,No data
81,2018/11/01 18:24:10.7,137,4,1,
82,2018/11/01 18:24:10.8,145,3,1,
83,2018/11/01 18:24:10.9,148,3,1,
84,2018/11/01 18:24:11.0,144,2,1,
85,2018/11/01 18:24:11.1,149,4,1,No data
86,2018/11/01 18:24:11.2,148,6,1,
87,2018/11/01 18:24:11.3,144,11,1,
88,2018/11/01 18:24:11.4,141,11,1,
89,2018/11/01 18:24:11.5,148,10,1,
90,2018/11/01 18:24:11.6,154,5,1,No data
91,2018/11/01 18:24:11.7,153,5,1,
92,2018/11/01 18:24:11.8,148,5,1,
93,2018/11/01 18:24:11.9,142,5,1,
94,2018/11/01 18:24:12.0,135,5,1,
95,2018/11/01 18:24:12.1,126,0,1,No data
96,2018/11/01 18:24:12.2,121,3,1,
97,2018/11/01 18:24:12.3,119,3,1,
98,2018/11/01 18:24:12.4,119,2,1,
99,2018/11/01 18:24:12.5,118,6,1,
100,2018/11/01 18:24:12.6,121,4,1,No data
101,2018/11/01 18:24:12.7,126,1,1,
102,2018/11/01 18:24:12.8,135,0,1,
103,2018/11/01 18:24:12.9,137,0,1,
104,2018/11/01 18:24:13.0,140,2,1,
105,2018/11/01 18:24:13.1,142,3,1,No data
106,2018/11/01 18:24:13.2,152,7,1,
107,2018/11/01 18:24:13.3,157,9,1,
108,2018/11/01 18:24:13.4,158,11,1,
109,2018/11/01 18:24:13.5,154,11,1,
110,2018/11/01 18:24:13.6,154,10,1,No data
111,2018/11/01 18:24:13.7,155,11,1,
112,2018/11/01 18:24:13.8,159,9,1,
113,2018/11/01 18:24:13.9,159,7,1,
114,2018/11/01 18:24:14.0,161,4,1,
115,2018/11/01 18:24:14.1,158,4,1,No data
116,2018/11/01 18:24:14.2,159,5,1,
117,2018/11/01 18:24:14.3,157,4,1,
118,2018/11/01 18:24:14.4,160,3,1,
119,2018/11/01 18:24:14.5,161,1,1,
120,2018/11/01 18:24:14.6,162,2,1,No data
121,2018/11/01 18:24:14.7,159,1,1,
122,2018/11/01 18:24:14.8,158,2,1,
123,2018/11/01 18:24:14.9,157,2,1,
124,2018/11/01 18:24:15.0,160,6,1,
125,2018/11/01 18:24:15.1,163,9,1,No data
126,2018/11/01 18:24:15.3,165,15,1,
127,2018/11/01 18:24:15.4,165,13,1,
128,2018/11/01 18:24:15.5,168,13,1,
129,2018/11/01 18:24:15.6,170,11,1,
130,2018/11/01 18:24:15.7,169,10,1,No data
131,2018/11/01 18:24:15.7,165,15,1,
132,2018/11/01 18:24:15.8,165,13,1,
133,2018/11/01 18:24:15.9,168,13,1,
134,2018/11/01 18:24:16.0,170,11,1,
135,2018/11/01 18:24:16.1,169,10,1,No data
136,2018/11/01 18:24:16.2,166,7,1,
137,2018/11/01 18:24:16.3,168,6,1,
138,2018/11/01 18:24:16.4,173,4,1,
139,2018/11/01 18:24:16.5,178,3,1,
140,2018/11/01 18:24:16.6,177,1,1,No data
141,2018/11/01 18:24:16.7,175,3,1,
142,2018/11/01 18:24:16.8,174,5,1,
143,2018/11/01 18:24:16.9,175,4,1,
144,2018/11/01 18:24:17.0,175,3,1,
145,2018/11/01 18:24:17.1,175,4,1,No data
146,2018/11/01 18:24:17.2,174,4,1,
147,2018/11/01 18:24:17.3,173,4,1,
148,2018/11/01 18:24:17.4,171,1,1,
149,2018/11/01 18:24:17.5,169,1,1,
150,2018/11/01 18:24:17.6,166,2,1,No data
151,2018/11/01 18:24:17.7,168,3,1,
152,2018/11/01 18:24:17.8,167,3,1,
153,2018/11/01 18:24:17.9,166,3,1,
154,2018/11/01 18:24:18.0,163,1,1,
155,2018/11/01 18:24:18.1,161,1,1,No data
156,2018/11/01 18:24:18.3,160,7,1,
157,2018/11/01 18:24:18.4,160,10,1,
158,2018/11/01 18:24:18.5,163,7,1,
159,2018/11/01 18:24:18.6,166,3,1,
160,2018/11/01 18:24:18.7,168,1,1,No data
161,2018/11/01 18:24:18.7,160,7,1,
162,2018/11/01 18:24:18.8,160,10,1,
163,2018/11/01 18:24:18.9,163,7,1,
164,2018/11/01 18:24:19.0,166,3,1,
165,2018/11/01 18:24:19.1,168,1,1,No data
166,2018/11/01 18:24:19.2,168,2,1,
167,2018/11/01 18:24:19.3,171,2,1,
168,2018/11/01 18:24:19.4,177,4,1,
169,2018/11/01 18:24:19.5,185,8,1,
170,2018/11/01 18:24:19.6,189,10,1,No data
171,2018/11/01 18:24:19.8,191,8,1,
172,2018/11/01 18:24:19.9,190,11,1,
173,2018/11/01 18:24:20.0,191,10,1,
174,2018/11/01 18:24:20.1,188,10,1,
175,2018/11/01 18:24:20.2,182,8,1,No data
176,2018/11/01 18:24:20.3,175,8,1,
177,2018/11/01 18:24:20.4,172,7,1,
178,2018/11/01 18:24:20.5,172,8,1,
179,2018/11/01 18:24:20.6,171,6,1,
180,2018/11/01 18:24:20.7,170,5,1,No data
181,2018/11/01 18:24:20.7,175,8,1,
182,2018/11/01 18:24:20.8,172,7,1,
183,2018/11/01 18:24:20.9,172,8,1,
184,2018/11/01 18:24:21.0,171,6,1,
185,2018/11/01 18:24:21.1,170,5,1,No data
186,2018/11/01 18:24:21.3,172,6,1,
187,2018/11/01 18:24:21.4,171,5,1,
188,2018/11/01 18:24:21.5,171,4,1,
189,2018/11/01 18:24:21.6,170,4,1,
190,2018/11/01 18:24:21.7,170,4,1,No data
191,2018/11/01 18:24:21.8,172,3,1,
192,2018/11/01 18:24:21.9,174,5,1,
193,2018/11/01 18:24:22.0,172,10,1,
194,2018/11/01 18:24:22.1,168,14,1,
195,2018/11/01 18:24:22.2,164,15,1,No data
196,2018/11/01 18:24:22.3,162,13,1,
197,2018/11/01 18:24:22.4,161,14,1,
198,2018/11/01 18:24:22.5,161,15,1,
199,2018/11/01 18:24:22.6,161,15,1,
200,2018/11/01 18:24:22.7,161,13,1,No data
201,2018/11/01 18:24:22.8,160,11,1,
202,2018/11/01 18:24:22.9,160,11,1,
203,2018/11/01 18:24:23.0,160,11,1,
204,2018/11/01 18:24:23.1,164,8,1,
205,2018/11/01 18:24:23.2,171,5,1,No data
206,2018/11/01 18:24:23.3,180,3,1,
207,2018/11/01 18:24:23.4,188,1,1,
208,2018/11/01 18:24:23.5,202,1,1,
209,2018/11/01 18:24:23.6,218,4,1,
210,2018/11/01 18:24:23.7,232,7,1,No data
211,2018/11/01 18:24:23.8,239,7,1,
212,2018/11/01 18:24:23.9,242,6,1,
213,2018/11/01 18:24:24.0,245,4,1,
214,2018/11/01 18:24:24.1,245,4,1,
215,2018/11/01 18:24:24.2,244,2,1,No data
216,2018/11/01 18:24:24.3,243,1,1,
217,2018/11/01 18:24:24.4,243,2,1,
218,2018/11/01 18:24:24.5,243,0,1,
219,2018/11/01 18:24:24.6,233,3,1,
220,2018/11/01 18:24:24.7,220,1,1,No data
221,2018/11/01 18:24:24.8,202,4,1,
222,2018/11/01 18:24:24.9,194,2,1,
223,2018/11/01 18:24:25.0,187,0,1,
224,2018/11/01 18:24:25.1,184,4,1,
225,2018/11/01 18:24:25.2,181,6,1,No data
226,2018/11/01 18:24:25.3,178,7,1,
227,2018/11/01 18:24:25.4,178,8,1,
228,2018/11/01 18:24:25.5,179,9,1,
229,2018/11/01 18:24:25.6,180,8,1,
230,2018/11/01 18:24:25.7,179,11,1,No data
231,2018/11/01 18:24:25.8,178,12,1,
232,2018/11/01 18:24:25.9,178,16,1,
