-2,0,2,4
2018/11/01/18:34:40.407,10000,10000,
2018/11/01/18:34:45.483,882,-404,
2018/11/01/18:34:46.849,824,-423,
2018/11/01/18:34:48.233,760,-442,
2018/11/01/18:34:49.650,689,-462,
2018/11/01/18:34:51.083,611,-481,
2018/11/01/18:34:52.532,526,-499,
2018/11/01/18:34:53.999,434,-516,
2018/11/01/18:34:55.482,335,-530,
2018/11/01/18:34:56.965,230,-541,
2018/11/01/18:34:58.465,122,-548,
2018/11/01/18:34:59.965,11,-550,
2018/11/01/18:35:01.282,10,-507,
2018/11/01/18:35:02.765,111,-505,
2018/11/01/18:35:04.248,210,-499,
2018/11/01/18:35:05.715,306,-491,
2018/11/01/18:35:07.181,398,-480,
2018/11/01/18:35:08.631,484,-466,
2018/11/01/18:35:10.064,565,-451,
2018/11/01/18:35:11.480,640,-435,
2018/11/01/18:35:12.880,708,-419,
2018/11/01/18:35:14.264,771,-402,
2018/11/01/18:35:15.630,829,-386,
2018/11/01/18:35:16.980,781,-368,
2018/11/01/18:35:18.346,724,-382,
2018/11/01/18:35:19.730,662,-397,
2018/11/01/18:35:21.129,596,-411,
2018/11/01/18:35:22.546,524,-424,
2018/11/01/18:35:23.963,448,-436,
2018/11/01/18:35:25.396,367,-447,
2018/11/01/18:35:26.846,281,-456,
2018/11/01/18:35:28.296,193,-463,
2018/11/01/18:35:29.762,101,-468,
2018/11/01/18:35:31.228,9,-469,
2018/11/01/18:35:32.511,8,-436,
2018/11/01/18:35:33.961,94,-435,
2018/11/01/18:35:35.411,178,-432,
2018/11/01/18:35:36.845,261,-426,
2018/11/01/18:35:38.278,340,-419,
2018/11/01/18:35:39.694,417,-410,
2018/11/01/18:35:41.111,489,-399,
2018/11/01/18:35:42.511,557,-388,
2018/11/01/18:35:43.910,622,-376,
2018/11/01/18:35:45.277,681,-364,
2018/11/01/18:35:46.644,737,-352,
2018/11/01/18:35:47.960,697,-336,
2018/11/01/18:35:49.327,643,-347,
2018/11/01/18:35:50.693,585,-357,
2018/11/01/18:35:52.076,523,-368,
2018/11/01/18:35:53.476,458,-377,
2018/11/01/18:35:54.876,389,-386,
2018/11/01/18:35:56.293,317,-393,
2018/11/01/18:35:57.709,243,-399,
2018/11/01/18:35:59.143,166,-404,
2018/11/01/18:36:00.576,87,-407,
2018/11/01/18:36:02.009,8,-408,
2018/11/01/18:36:03.258,7,-382,
2018/11/01/18:36:04.675,81,-382,
2018/11/01/18:36:06.092,155,-379,
2018/11/01/18:36:07.509,227,-375,
2018/11/01/18:36:08.908,297,-370,
2018/11/01/18:36:10.308,365,-364,
2018/11/01/18:36:11.708,430,-357,
2018/11/01/18:36:13.091,493,-349,
2018/11/01/18:36:14.474,552,-340,
2018/11/01/18:36:15.840,608,-331,
2018/11/01/18:36:17.191,661,-322,
2018/11/01/18:36:18.474,628,-308,
2018/11/01/18:36:19.824,577,-316,
2018/11/01/18:36:21.190,522,-324,
2018/11/01/18:36:22.557,466,-332,
2018/11/01/18:36:23.940,406,-338,
2018/11/01/18:36:25.323,344,-345,
2018/11/01/18:36:26.723,279,-350,
2018/11/01/18:36:28.123,213,-354,
2018/11/01/18:36:29.522,145,-357,
2018/11/01/18:36:30.922,76,-359,
2018/11/01/18:36:32.323,7,-360,
2018/11/01/18:36:33.556,6,-340,
2018/11/01/18:36:34.956,72,-340,
2018/11/01/18:36:36.355,137,-338,
2018/11/01/18:36:37.738,201,-335,
2018/11/01/18:36:39.121,264,-332,
2018/11/01/18:36:40.504,325,-327,
2018/11/01/18:36:41.888,384,-322,
2018/11/01/18:36:43.255,441,-316,
2018/11/01/18:36:44.621,496,-309,
2018/11/01/18:36:45.971,548,-302,
2018/11/01/18:36:47.321,598,-295,
2018/11/01/18:36:48.587,570,-283,
2018/11/01/18:36:49.921,522,-290,
2018/11/01/18:36:51.271,471,-296,
2018/11/01/18:36:52.620,419,-301,
2018/11/01/18:36:53.987,364,-306,
2018/11/01/18:36:55.353,308,-311,
2018/11/01/18:36:56.736,249,-315,
2018/11/01/18:36:58.121,190,-318,
2018/11/01/18:36:59.504,129,-320,
2018/11/01/18:37:00.886,68,-322,
2018/11/01/18:37:02.269,6,-322,
2018/11/01/18:37:03.486,6,-306,
2018/11/01/18:37:04.852,64,-306,
2018/11/01/18:37:06.219,122,-304,
2018/11/01/18:37:07.586,180,-302,
2018/11/01/18:37:08.952,237,-300,
2018/11/01/18:37:10.319,292,-296,
2018/11/01/18:37:11.685,346,-292,
2018/11/01/18:37:13.035,398,-288,
2018/11/01/18:37:14.385,449,-283,
2018/11/01/18:37:15.735,498,-278,
2018/11/01/18:37:17.068,545,-272,
2018/11/01/18:37:18.318,521,-262,
2018/11/01/18:37:19.651,476,-267,
2018/11/01/18:37:20.985,429,-271,
2018/11/01/18:37:22.334,380,-276,
2018/11/01/18:37:23.684,330,-279,
2018/11/01/18:37:25.034,278,-283,
2018/11/01/18:37:26.383,225,-286,
2018/11/01/18:37:27.751,171,-288,
2018/11/01/18:37:29.117,116,-290,
2018/11/01/18:37:30.483,61,-291,
2018/11/01/18:37:31.850,5,-291,
