Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 17:00:51.9,99,14,1,
2,2018/11/14 17:00:52.0,99,19,1,
3,2018/11/14 17:00:52.1,99,18,1,
4,2018/11/14 17:00:52.2,100,15,1,
5,2018/11/14 17:00:52.3,99,14,1,No data
6,2018/11/14 17:00:52.4,98,17,1,
7,2018/11/14 17:00:52.5,98,20,1,
8,2018/11/14 17:00:52.6,99,18,1,
9,2018/11/14 17:00:52.7,100,13,1,
10,2018/11/14 17:00:52.8,100,12,1,No data
11,2018/11/14 17:00:53.0,99,15,1,
12,2018/11/14 17:00:53.1,98,19,1,
13,2018/11/14 17:00:53.2,100,19,1,
14,2018/11/14 17:00:53.3,101,18,1,
15,2018/11/14 17:00:53.4,100,19,1,No data
16,2018/11/14 17:00:53.5,98,19,1,
17,2018/11/14 17:00:53.6,98,16,1,
18,2018/11/14 17:00:53.7,99,11,1,
19,2018/11/14 17:00:53.8,100,5,1,
20,2018/11/14 17:00:53.9,99,4,1,No data
21,2018/11/14 17:00:54.0,98,6,1,
22,2018/11/14 17:00:54.1,97,8,1,
23,2018/11/14 17:00:54.2,99,14,1,
24,2018/11/14 17:00:54.3,101,19,1,
25,2018/11/14 17:00:54.4,100,21,1,No data
26,2018/11/14 17:00:54.5,99,17,1,
27,2018/11/14 17:00:54.6,97,12,1,
28,2018/11/14 17:00:54.7,98,9,1,
29,2018/11/14 17:00:54.8,99,8,1,
30,2018/11/14 17:00:54.9,99,7,1,No data
31,2018/11/14 17:00:55.0,98,5,1,
32,2018/11/14 17:00:55.1,97,6,1,
33,2018/11/14 17:00:55.2,98,6,1,
34,2018/11/14 17:00:55.3,99,2,1,
35,2018/11/14 17:00:55.4,99,3,1,No data
36,2018/11/14 17:00:55.5,98,3,1,
37,2018/11/14 17:00:55.6,97,0,1,
38,2018/11/14 17:00:55.7,98,1,1,
39,2018/11/14 17:00:55.8,100,2,1,
40,2018/11/14 17:00:55.9,100,1,1,No data
41,2018/11/14 17:00:56.0,99,0,1,
42,2018/11/14 17:00:56.1,98,1,1,
43,2018/11/14 17:00:56.2,99,2,1,
44,2018/11/14 17:00:56.3,99,6,1,
45,2018/11/14 17:00:56.4,98,7,1,No data
46,2018/11/14 17:00:56.5,98,9,1,
47,2018/11/14 17:00:56.6,98,5,1,
48,2018/11/14 17:00:56.7,99,2,1,
49,2018/11/14 17:00:56.8,100,0,1,
50,2018/11/14 17:00:56.9,99,3,1,No data
51,2018/11/14 17:00:57.0,98,3,1,
52,2018/11/14 17:00:57.1,97,1,1,
53,2018/11/14 17:00:57.2,97,0,1,
54,2018/11/14 17:00:57.3,92,0,1,
55,2018/11/14 17:00:57.4,123,2,1,No data
56,2018/11/14 17:00:57.5,191,0,1,
57,2018/11/14 17:00:57.6,268,2,1,
58,2018/11/14 17:00:57.7,296,1,1,
59,2018/11/14 17:00:57.8,271,4,1,
60,2018/11/14 17:00:57.9,235,7,1,No data
61,2018/11/14 17:00:58.0,207,11,1,
62,2018/11/14 17:00:58.1,196,12,1,
63,2018/11/14 17:00:58.2,193,14,1,
64,2018/11/14 17:00:58.3,194,14,1,
65,2018/11/14 17:00:58.4,194,16,1,No data
66,2018/11/14 17:00:58.5,193,17,1,
67,2018/11/14 17:00:58.6,192,18,1,
68,2018/11/14 17:00:58.7,193,20,1,
69,2018/11/14 17:00:58.8,193,21,1,
70,2018/11/14 17:00:58.9,195,13,1,No data
71,2018/11/14 17:00:59.0,192,5,1,
72,2018/11/14 17:00:59.1,191,2,1,
73,2018/11/14 17:00:59.2,199,10,1,
74,2018/11/14 17:00:59.3,267,19,1,
75,2018/11/14 17:00:59.4,354,25,1,No data
76,2018/11/14 17:00:59.5,439,23,1,
77,2018/11/14 17:00:59.6,470,21,1,
78,2018/11/14 17:00:59.7,446,21,1,
79,2018/11/14 17:00:59.8,436,21,1,
80,2018/11/14 17:00:59.9,433,21,1,No data
81,2018/11/14 17:01:00.0,470,23,1,
82,2018/11/14 17:01:00.1,484,25,1,
83,2018/11/14 17:01:00.2,490,24,1,
84,2018/11/14 17:01:00.3,486,20,1,
85,2018/11/14 17:01:00.4,456,15,1,No data
86,2018/11/14 17:01:00.5,426,15,1,
87,2018/11/14 17:01:00.6,406,17,1,
88,2018/11/14 17:01:00.7,419,12,1,
89,2018/11/14 17:01:00.8,445,2,1,
90,2018/11/14 17:01:00.9,473,3,1,No data
91,2018/11/14 17:01:00.9,492,7,1,
92,2018/11/14 17:01:01.0,495,13,1,
93,2018/11/14 17:01:01.1,494,12,1,
94,2018/11/14 17:01:01.2,459,79,1,
95,2018/11/14 17:01:01.3,381,322,1,No data
96,2018/11/14 17:01:01.5,300,626,1,
97,2018/11/14 17:01:01.6,285,681,1,
98,2018/11/14 17:01:01.7,347,482,1,
99,2018/11/14 17:01:01.8,417,193,1,
100,2018/11/14 17:01:01.9,451,59,1,No data
101,2018/11/14 17:01:02.0,456,18,1,
102,2018/11/14 17:01:02.1,464,3,1,
103,2018/11/14 17:01:02.2,520,3,1,
104,2018/11/14 17:01:02.3,579,0,1,
105,2018/11/14 17:01:02.4,626,0,1,No data
106,2018/11/14 17:01:02.5,569,1,1,
107,2018/11/14 17:01:02.6,487,10,1,
108,2018/11/14 17:01:02.7,398,9,1,
109,2018/11/14 17:01:02.8,368,4,1,
110,2018/11/14 17:01:02.9,352,0,1,No data
111,2018/11/14 17:01:03.0,349,4,1,
112,2018/11/14 17:01:03.1,354,6,1,
113,2018/11/14 17:01:03.2,331,11,1,
114,2018/11/14 17:01:03.3,312,4,1,
115,2018/11/14 17:01:03.4,294,7,1,No data
116,2018/11/14 17:01:03.4,307,25,1,
117,2018/11/14 17:01:03.5,314,34,1,
118,2018/11/14 17:01:03.6,317,38,1,
119,2018/11/14 17:01:03.7,318,40,1,
120,2018/11/14 17:01:03.8,317,40,1,No data
121,2018/11/14 17:01:04.0,316,41,1,
122,2018/11/14 17:01:04.1,318,40,1,
123,2018/11/14 17:01:04.2,320,39,1,
124,2018/11/14 17:01:04.3,325,35,1,
125,2018/11/14 17:01:04.4,399,20,1,No data
126,2018/11/14 17:01:04.5,442,15,1,
127,2018/11/14 17:01:04.6,442,11,1,
128,2018/11/14 17:01:04.7,347,18,1,
129,2018/11/14 17:01:04.8,274,12,1,
130,2018/11/14 17:01:04.9,236,4,1,No data
131,2018/11/14 17:01:04.9,222,5,1,
132,2018/11/14 17:01:05.0,217,9,1,
133,2018/11/14 17:01:05.1,216,9,1,
134,2018/11/14 17:01:05.2,215,6,1,
135,2018/11/14 17:01:05.3,214,3,1,No data
136,2018/11/14 17:01:05.5,212,1,1,
137,2018/11/14 17:01:05.6,211,2,1,
138,2018/11/14 17:01:05.7,232,2,1,
139,2018/11/14 17:01:05.8,311,20,1,
140,2018/11/14 17:01:05.9,373,35,1,No data
141,2018/11/14 17:01:05.9,395,48,1,
142,2018/11/14 17:01:06.0,357,51,1,
143,2018/11/14 17:01:06.1,334,56,1,
144,2018/11/14 17:01:06.2,328,58,1,
145,2018/11/14 17:01:06.3,323,57,1,No data
146,2018/11/14 17:01:06.6,321,57,1,
147,2018/11/14 17:01:06.7,320,57,1,
148,2018/11/14 17:01:06.8,321,55,1,
149,2018/11/14 17:01:06.9,321,55,1,
150,2018/11/14 17:01:07.0,319,53,1,No data
151,2018/11/14 17:01:07.0,325,46,1,
152,2018/11/14 17:01:07.1,376,28,1,
153,2018/11/14 17:01:07.2,443,7,1,
154,2018/11/14 17:01:07.3,556,22,1,
155,2018/11/14 17:01:07.4,650,44,1,No data
156,2018/11/14 17:01:07.5,742,60,1,
157,2018/11/14 17:01:07.6,785,58,1,
158,2018/11/14 17:01:07.7,803,54,1,
159,2018/11/14 17:01:07.8,806,54,1,
160,2018/11/14 17:01:07.9,804,55,1,No data
161,2018/11/14 17:01:08.0,803,54,1,
162,2018/11/14 17:01:08.1,803,54,1,
163,2018/11/14 17:01:08.2,806,55,1,
164,2018/11/14 17:01:08.3,807,56,1,
165,2018/11/14 17:01:08.4,803,50,1,No data
166,2018/11/14 17:01:08.5,719,37,1,
167,2018/11/14 17:01:08.6,609,19,1,
168,2018/11/14 17:01:08.7,568,10,1,
169,2018/11/14 17:01:08.8,643,12,1,
170,2018/11/14 17:01:08.9,758,23,1,No data
171,2018/11/14 17:01:09.0,814,34,1,
172,2018/11/14 17:01:09.1,835,39,1,
173,2018/11/14 17:01:09.2,844,41,1,
174,2018/11/14 17:01:09.3,846,42,1,
175,2018/11/14 17:01:09.4,847,43,1,No data
176,2018/11/14 17:01:09.5,847,44,1,
177,2018/11/14 17:01:09.6,847,44,1,
178,2018/11/14 17:01:09.7,848,43,1,
179,2018/11/14 17:01:09.8,846,44,1,
180,2018/11/14 17:01:09.9,796,38,1,No data
181,2018/11/14 17:01:10.0,704,19,1,
182,2018/11/14 17:01:10.1,579,3,1,
183,2018/11/14 17:01:10.2,500,17,1,
184,2018/11/14 17:01:10.3,449,27,1,
185,2018/11/14 17:01:10.4,427,45,1,No data
186,2018/11/14 17:01:10.5,406,69,1,
187,2018/11/14 17:01:10.6,398,84,1,
188,2018/11/14 17:01:10.7,396,92,1,
189,2018/11/14 17:01:10.8,396,94,1,
190,2018/11/14 17:01:10.9,394,95,1,No data
191,2018/11/14 17:01:11.0,392,96,1,
192,2018/11/14 17:01:11.1,392,96,1,
193,2018/11/14 17:01:11.2,394,97,1,
194,2018/11/14 17:01:11.3,395,96,1,
195,2018/11/14 17:01:11.4,411,75,1,No data
196,2018/11/14 17:01:11.5,479,51,1,
197,2018/11/14 17:01:11.6,539,23,1,
198,2018/11/14 17:01:11.7,545,10,1,
199,2018/11/14 17:01:11.8,490,6,1,
200,2018/11/14 17:01:11.9,438,5,1,No data
201,2018/11/14 17:01:12.0,422,25,1,
202,2018/11/14 17:01:12.1,413,56,1,
203,2018/11/14 17:01:12.2,409,77,1,
204,2018/11/14 17:01:12.3,407,85,1,
205,2018/11/14 17:01:12.4,405,88,1,No data
206,2018/11/14 17:01:12.5,404,90,1,
207,2018/11/14 17:01:12.6,404,90,1,
208,2018/11/14 17:01:12.7,405,91,1,
209,2018/11/14 17:01:12.8,406,90,1,
210,2018/11/14 17:01:12.9,405,90,1,No data
211,2018/11/14 17:01:13.0,406,65,1,
212,2018/11/14 17:01:13.1,455,39,1,
213,2018/11/14 17:01:13.2,503,7,1,
214,2018/11/14 17:01:13.3,541,2,1,
215,2018/11/14 17:01:13.4,508,9,1,No data
216,2018/11/14 17:01:13.6,475,0,1,
217,2018/11/14 17:01:13.7,447,8,1,
218,2018/11/14 17:01:13.8,441,19,1,
219,2018/11/14 17:01:13.9,436,20,1,
220,2018/11/14 17:01:14.0,433,23,1,No data
221,2018/11/14 17:01:14.1,432,25,1,
222,2018/11/14 17:01:14.2,433,25,1,
223,2018/11/14 17:01:14.3,435,24,1,
224,2018/11/14 17:01:14.4,435,23,1,
225,2018/11/14 17:01:14.5,435,22,1,No data
226,2018/11/14 17:01:14.5,434,23,1,
227,2018/11/14 17:01:14.6,434,23,1,
228,2018/11/14 17:01:14.7,435,15,1,
229,2018/11/14 17:01:14.8,426,4,1,
230,2018/11/14 17:01:14.9,438,4,1,No data
231,2018/11/14 17:01:15.0,480,3,1,
232,2018/11/14 17:01:15.1,515,3,1,
233,2018/11/14 17:01:15.2,512,3,1,
234,2018/11/14 17:01:15.3,466,6,1,
235,2018/11/14 17:01:15.4,436,9,1,No data
236,2018/11/14 17:01:15.6,441,1,1,
237,2018/11/14 17:01:15.7,462,13,1,
238,2018/11/14 17:01:15.8,488,33,1,
239,2018/11/14 17:01:15.9,496,43,1,
240,2018/11/14 17:01:16.0,500,51,1,No data
241,2018/11/14 17:01:16.1,501,55,1,
242,2018/11/14 17:01:16.2,501,56,1,
243,2018/11/14 17:01:16.3,503,57,1,
244,2018/11/14 17:01:16.4,503,57,1,
245,2018/11/14 17:01:16.5,502,58,1,No data
246,2018/11/14 17:01:16.6,502,58,1,
247,2018/11/14 17:01:16.7,484,43,1,
248,2018/11/14 17:01:16.8,462,27,1,
249,2018/11/14 17:01:16.9,431,8,1,
250,2018/11/14 17:01:17.0,419,5,1,No data
251,2018/11/14 17:01:17.1,408,1,1,
252,2018/11/14 17:01:17.2,404,1,1,
253,2018/11/14 17:01:17.3,399,1,1,
254,2018/11/14 17:01:17.4,392,7,1,
255,2018/11/14 17:01:17.5,377,2,1,No data
256,2018/11/14 17:01:17.6,359,4,1,
257,2018/11/14 17:01:17.7,346,14,1,
