Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 16:07:37.6,116,7,1,
2,2018/11/14 16:07:37.7,116,4,1,
3,2018/11/14 16:07:37.8,115,6,1,
4,2018/11/14 16:07:37.9,115,6,1,
5,2018/11/14 16:07:38.0,116,7,1,No data
6,2018/11/14 16:07:38.0,117,2,1,
7,2018/11/14 16:07:38.1,117,4,1,
8,2018/11/14 16:07:38.2,116,5,1,
9,2018/11/14 16:07:38.3,116,6,1,
10,2018/11/14 16:07:38.4,118,4,1,No data
11,2018/11/14 16:07:38.5,119,1,1,
12,2018/11/14 16:07:38.6,118,0,1,
13,2018/11/14 16:07:38.7,117,4,1,
14,2018/11/14 16:07:38.8,117,4,1,
15,2018/11/14 16:07:38.9,118,5,1,No data
16,2018/11/14 16:07:39.0,118,2,1,
17,2018/11/14 16:07:39.1,117,3,1,
18,2018/11/14 16:07:39.2,116,2,1,
19,2018/11/14 16:07:39.3,116,1,1,
20,2018/11/14 16:07:39.4,117,2,1,No data
21,2018/11/14 16:07:39.5,118,4,1,
22,2018/11/14 16:07:39.6,117,6,1,
23,2018/11/14 16:07:39.7,116,7,1,
24,2018/11/14 16:07:39.8,116,8,1,
25,2018/11/14 16:07:39.9,117,8,1,No data
26,2018/11/14 16:07:40.0,118,5,1,
27,2018/11/14 16:07:40.1,117,2,1,
28,2018/11/14 16:07:40.2,115,1,1,
29,2018/11/14 16:07:40.3,115,6,1,
30,2018/11/14 16:07:40.4,116,11,1,No data
31,2018/11/14 16:07:40.5,117,12,1,
32,2018/11/14 16:07:40.6,116,8,1,
33,2018/11/14 16:07:40.7,115,1,1,
34,2018/11/14 16:07:40.8,115,1,1,
35,2018/11/14 16:07:40.9,116,3,1,No data
36,2018/11/14 16:07:41.0,117,2,1,
37,2018/11/14 16:07:41.1,116,4,1,
38,2018/11/14 16:07:41.2,115,5,1,
39,2018/11/14 16:07:41.3,115,3,1,
40,2018/11/14 16:07:41.4,116,3,1,No data
41,2018/11/14 16:07:41.5,117,1,1,
42,2018/11/14 16:07:41.6,116,1,1,
43,2018/11/14 16:07:41.7,115,2,1,
44,2018/11/14 16:07:41.8,115,2,1,
45,2018/11/14 16:07:41.9,116,0,1,No data
46,2018/11/14 16:07:42.0,116,4,1,
47,2018/11/14 16:07:42.1,115,4,1,
48,2018/11/14 16:07:42.2,115,3,1,
49,2018/11/14 16:07:42.3,115,2,1,
50,2018/11/14 16:07:42.4,116,3,1,No data
51,2018/11/14 16:07:42.5,116,3,1,
52,2018/11/14 16:07:42.6,115,1,1,
