Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 15:47:21.2,158,3,1,
2,2018/11/14 15:47:21.3,159,3,1,
3,2018/11/14 15:47:21.4,160,3,1,
4,2018/11/14 15:47:21.5,160,5,1,
5,2018/11/14 15:47:21.6,158,3,1,No data
6,2018/11/14 15:47:21.7,158,2,1,
7,2018/11/14 15:47:21.8,159,1,1,
8,2018/11/14 15:47:21.9,160,0,1,
9,2018/11/14 15:47:22.0,160,1,1,
10,2018/11/14 15:47:22.1,159,0,1,No data
11,2018/11/14 15:47:22.2,159,0,1,
12,2018/11/14 15:47:22.3,159,2,1,
13,2018/11/14 15:47:22.4,160,4,1,
14,2018/11/14 15:47:22.5,159,8,1,
15,2018/11/14 15:47:22.6,158,8,1,No data
16,2018/11/14 15:47:22.7,157,6,1,
17,2018/11/14 15:47:22.8,158,4,1,
18,2018/11/14 15:47:22.9,160,2,1,
19,2018/11/14 15:47:23.0,160,2,1,
20,2018/11/14 15:47:23.1,159,3,1,No data
21,2018/11/14 15:47:23.2,158,4,1,
22,2018/11/14 15:47:23.3,159,6,1,
23,2018/11/14 15:47:23.4,159,6,1,
24,2018/11/14 15:47:23.5,159,6,1,
25,2018/11/14 15:47:23.6,158,5,1,No data
26,2018/11/14 15:47:23.7,158,7,1,
27,2018/11/14 15:47:23.8,159,9,1,
28,2018/11/14 15:47:23.9,160,9,1,
29,2018/11/14 15:47:24.0,160,7,1,
30,2018/11/14 15:47:24.1,158,5,1,No data
31,2018/11/14 15:47:24.2,157,6,1,
32,2018/11/14 15:47:24.3,158,8,1,
33,2018/11/14 15:47:24.4,159,10,1,
34,2018/11/14 15:47:24.5,159,10,1,
35,2018/11/14 15:47:24.6,157,7,1,No data
36,2018/11/14 15:47:24.7,157,3,1,
37,2018/11/14 15:47:24.8,159,3,1,
38,2018/11/14 15:47:24.9,160,5,1,
39,2018/11/14 15:47:25.0,160,5,1,
40,2018/11/14 15:47:25.1,158,2,1,No data
41,2018/11/14 15:47:25.2,159,0,1,
42,2018/11/14 15:47:25.3,160,1,1,
43,2018/11/14 15:47:25.4,160,3,1,
44,2018/11/14 15:47:25.5,159,3,1,
45,2018/11/14 15:47:25.6,158,1,1,No data
46,2018/11/14 15:47:25.7,158,0,1,
47,2018/11/14 15:47:25.8,159,0,1,
48,2018/11/14 15:47:25.9,160,2,1,
49,2018/11/14 15:47:26.0,159,2,1,
50,2018/11/14 15:47:26.1,158,0,1,No data
51,2018/11/14 15:47:26.2,159,4,1,
52,2018/11/14 15:47:26.3,160,5,1,
53,2018/11/14 15:47:26.4,161,8,1,
54,2018/11/14 15:47:26.5,160,8,1,
55,2018/11/14 15:47:26.6,159,8,1,No data
56,2018/11/14 15:47:26.7,159,6,1,
57,2018/11/14 15:47:26.8,160,5,1,
58,2018/11/14 15:47:26.9,160,6,1,
59,2018/11/14 15:47:27.0,159,5,1,
60,2018/11/14 15:47:27.1,159,6,1,No data
61,2018/11/14 15:47:27.2,160,5,1,
62,2018/11/14 15:47:27.3,162,5,1,
63,2018/11/14 15:47:27.4,162,3,1,
64,2018/11/14 15:47:27.5,161,2,1,
65,2018/11/14 15:47:27.6,159,2,1,No data
66,2018/11/14 15:47:27.7,160,1,1,
67,2018/11/14 15:47:27.8,161,2,1,
68,2018/11/14 15:47:27.9,162,2,1,
69,2018/11/14 15:47:28.0,161,2,1,
70,2018/11/14 15:47:28.1,147,3,1,No data
71,2018/11/14 15:47:28.2,186,3,1,
72,2018/11/14 15:47:28.3,265,1,1,
73,2018/11/14 15:47:28.4,352,3,1,
74,2018/11/14 15:47:28.5,385,0,1,
75,2018/11/14 15:47:28.6,407,7,1,No data
76,2018/11/14 15:47:28.7,446,10,1,
77,2018/11/14 15:47:28.8,491,18,1,
78,2018/11/14 15:47:28.9,510,16,1,
79,2018/11/14 15:47:29.0,515,18,1,
80,2018/11/14 15:47:29.1,516,19,1,No data
81,2018/11/14 15:47:29.2,517,23,1,
82,2018/11/14 15:47:29.3,518,28,1,
83,2018/11/14 15:47:29.4,519,33,1,
84,2018/11/14 15:47:29.5,518,31,1,
85,2018/11/14 15:47:29.6,517,28,1,No data
86,2018/11/14 15:47:29.7,517,29,1,
87,2018/11/14 15:47:29.8,517,32,1,
88,2018/11/14 15:47:29.9,517,35,1,
89,2018/11/14 15:47:30.0,516,37,1,
90,2018/11/14 15:47:30.1,514,38,1,No data
91,2018/11/14 15:47:30.2,515,40,1,
92,2018/11/14 15:47:30.3,515,40,1,
93,2018/11/14 15:47:30.4,516,41,1,
94,2018/11/14 15:47:30.5,515,42,1,
95,2018/11/14 15:47:30.6,497,42,1,No data
96,2018/11/14 15:47:30.7,493,39,1,
97,2018/11/14 15:47:30.8,492,37,1,
98,2018/11/14 15:47:30.9,509,37,1,
99,2018/11/14 15:47:31.0,514,37,1,
100,2018/11/14 15:47:31.1,514,33,1,No data
101,2018/11/14 15:47:31.2,472,26,1,
102,2018/11/14 15:47:31.3,446,19,1,
103,2018/11/14 15:47:31.4,481,12,1,
104,2018/11/14 15:47:31.5,570,6,1,
105,2018/11/14 15:47:31.6,622,2,1,No data
106,2018/11/14 15:47:31.7,591,2,1,
107,2018/11/14 15:47:31.8,535,4,1,
108,2018/11/14 15:47:31.9,496,6,1,
109,2018/11/14 15:47:32.0,476,2,1,
110,2018/11/14 15:47:32.1,459,5,1,No data
111,2018/11/14 15:47:32.2,425,8,1,
112,2018/11/14 15:47:32.3,409,11,1,
113,2018/11/14 15:47:32.4,423,4,1,
114,2018/11/14 15:47:32.5,461,21,1,
115,2018/11/14 15:47:32.6,488,40,1,No data
116,2018/11/14 15:47:32.7,497,47,1,
117,2018/11/14 15:47:32.8,502,52,1,
118,2018/11/14 15:47:32.9,504,55,1,
119,2018/11/14 15:47:33.0,505,58,1,
120,2018/11/14 15:47:33.1,505,62,1,No data
121,2018/11/14 15:47:33.2,508,66,1,
122,2018/11/14 15:47:33.3,511,69,1,
123,2018/11/14 15:47:33.4,489,64,1,
124,2018/11/14 15:47:33.5,464,48,1,
125,2018/11/14 15:47:33.6,441,30,1,No data
126,2018/11/14 15:47:33.7,445,16,1,
127,2018/11/14 15:47:33.8,454,7,1,
128,2018/11/14 15:47:33.9,461,2,1,
129,2018/11/14 15:47:34.0,468,1,1,
130,2018/11/14 15:47:34.1,464,6,1,No data
131,2018/11/14 15:47:34.2,465,13,1,
132,2018/11/14 15:47:34.3,474,11,1,
133,2018/11/14 15:47:34.4,506,12,1,
134,2018/11/14 15:47:34.5,537,6,1,
135,2018/11/14 15:47:34.6,559,7,1,No data
136,2018/11/14 15:47:34.7,567,8,1,
137,2018/11/14 15:47:34.8,572,8,1,
138,2018/11/14 15:47:34.9,575,8,1,
139,2018/11/14 15:47:35.0,576,7,1,
140,2018/11/14 15:47:35.1,576,8,1,No data
141,2018/11/14 15:47:35.2,578,9,1,
142,2018/11/14 15:47:35.3,581,10,1,
143,2018/11/14 15:47:35.4,564,9,1,
144,2018/11/14 15:47:35.5,542,3,1,
145,2018/11/14 15:47:35.6,514,5,1,No data
146,2018/11/14 15:47:35.7,514,12,1,
147,2018/11/14 15:47:35.8,521,10,1,
148,2018/11/14 15:47:35.9,530,9,1,
149,2018/11/14 15:47:36.0,536,9,1,
150,2018/11/14 15:47:36.1,527,4,1,No data
151,2018/11/14 15:47:36.2,533,8,1,
152,2018/11/14 15:47:36.3,548,8,1,
153,2018/11/14 15:47:36.4,583,11,1,
154,2018/11/14 15:47:36.5,612,18,1,
155,2018/11/14 15:47:36.6,628,21,1,No data
156,2018/11/14 15:47:36.7,635,20,1,
157,2018/11/14 15:47:36.8,640,19,1,
158,2018/11/14 15:47:36.9,642,19,1,
159,2018/11/14 15:47:37.0,642,19,1,
160,2018/11/14 15:47:37.1,641,20,1,No data
161,2018/11/14 15:47:37.2,641,19,1,
162,2018/11/14 15:47:37.3,632,20,1,
163,2018/11/14 15:47:37.4,610,13,1,
164,2018/11/14 15:47:37.5,589,2,1,
165,2018/11/14 15:47:37.6,556,9,1,No data
166,2018/11/14 15:47:37.7,531,4,1,
167,2018/11/14 15:47:37.8,515,13,1,
168,2018/11/14 15:47:37.9,519,22,1,
169,2018/11/14 15:47:38.0,519,20,1,
170,2018/11/14 15:47:38.1,503,9,1,No data
171,2018/11/14 15:47:38.2,488,3,1,
172,2018/11/14 15:47:38.3,482,1,1,
173,2018/11/14 15:47:38.4,478,1,1,
174,2018/11/14 15:47:38.5,475,2,1,
175,2018/11/14 15:47:38.6,472,3,1,No data
176,2018/11/14 15:47:38.7,472,3,1,
177,2018/11/14 15:47:38.8,473,3,1,
178,2018/11/14 15:47:38.9,473,2,1,
179,2018/11/14 15:47:39.0,471,0,1,
180,2018/11/14 15:47:39.1,475,2,1,No data
181,2018/11/14 15:47:39.2,483,10,1,
182,2018/11/14 15:47:39.3,493,10,1,
183,2018/11/14 15:47:39.4,517,6,1,
184,2018/11/14 15:47:39.5,537,4,1,
185,2018/11/14 15:47:39.6,556,5,1,No data
186,2018/11/14 15:47:39.7,561,3,1,
187,2018/11/14 15:47:39.8,570,9,1,
188,2018/11/14 15:47:39.9,578,21,1,
189,2018/11/14 15:47:40.0,580,29,1,
190,2018/11/14 15:47:40.1,583,34,1,No data
191,2018/11/14 15:47:40.2,586,35,1,
