Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 17:57:41.0,125,3,1,
2,2018/11/14 17:57:41.1,124,4,1,
3,2018/11/14 17:57:41.2,125,2,1,
4,2018/11/14 17:57:41.3,126,1,1,
5,2018/11/14 17:57:41.4,126,0,1,No data
6,2018/11/14 17:57:41.5,125,1,1,
7,2018/11/14 17:57:41.6,124,3,1,
8,2018/11/14 17:57:41.7,125,5,1,
9,2018/11/14 17:57:41.8,126,5,1,
10,2018/11/14 17:57:41.9,126,7,1,No data
11,2018/11/14 17:57:42.0,125,7,1,
12,2018/11/14 17:57:42.1,125,8,1,
13,2018/11/14 17:57:42.2,127,5,1,
14,2018/11/14 17:57:42.3,127,3,1,
15,2018/11/14 17:57:42.4,127,1,1,No data
16,2018/11/14 17:57:42.5,126,2,1,
17,2018/11/14 17:57:42.6,125,4,1,
18,2018/11/14 17:57:42.7,125,5,1,
19,2018/11/14 17:57:42.8,126,6,1,
20,2018/11/14 17:57:42.9,126,5,1,No data
21,2018/11/14 17:57:43.0,125,4,1,
22,2018/11/14 17:57:43.1,124,2,1,
23,2018/11/14 17:57:43.2,126,2,1,
24,2018/11/14 17:57:43.3,126,1,1,
25,2018/11/14 17:57:43.4,126,4,1,No data
26,2018/11/14 17:57:43.5,125,1,1,
27,2018/11/14 17:57:43.6,125,0,1,
28,2018/11/14 17:57:43.7,126,2,1,
29,2018/11/14 17:57:43.8,127,0,1,
30,2018/11/14 17:57:43.9,127,1,1,No data
31,2018/11/14 17:57:44.0,126,1,1,
32,2018/11/14 17:57:44.1,126,2,1,
33,2018/11/14 17:57:44.2,122,5,1,
34,2018/11/14 17:57:44.3,105,13,1,
35,2018/11/14 17:57:44.4,105,15,1,No data
36,2018/11/14 17:57:44.5,133,11,1,
37,2018/11/14 17:57:44.6,179,3,1,
38,2018/11/14 17:57:44.7,207,4,1,
39,2018/11/14 17:57:44.8,212,1,1,
40,2018/11/14 17:57:44.9,212,3,1,No data
41,2018/11/14 17:57:45.0,211,16,1,
42,2018/11/14 17:57:45.1,210,21,1,
43,2018/11/14 17:57:45.2,210,27,1,
44,2018/11/14 17:57:45.3,210,30,1,
45,2018/11/14 17:57:45.4,210,30,1,No data
46,2018/11/14 17:57:45.5,208,30,1,
47,2018/11/14 17:57:45.6,208,27,1,
48,2018/11/14 17:57:45.7,209,26,1,
49,2018/11/14 17:57:45.8,210,24,1,
50,2018/11/14 17:57:45.9,211,24,1,No data
51,2018/11/14 17:57:46.0,209,19,1,
52,2018/11/14 17:57:46.1,206,12,1,
53,2018/11/14 17:57:46.2,206,3,1,
54,2018/11/14 17:57:46.3,205,2,1,
55,2018/11/14 17:57:46.4,204,5,1,No data
56,2018/11/14 17:57:46.5,198,434,1,
57,2018/11/14 17:57:46.6,208,1214,1,
58,2018/11/14 17:57:46.7,259,2832,1,
59,2018/11/14 17:57:46.8,259,2832,1,
60,2018/11/14 17:57:46.9,166,2200,1,No data
61,2018/11/14 17:57:47.0,122,2813,1,
62,2018/11/14 17:57:47.1,64,3067,1,
63,2018/11/14 17:57:47.2,57,3121,1,
