Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 17:26:16.5,108,4,1,
2,2018/11/14 17:26:16.6,109,2,1,
3,2018/11/14 17:26:16.7,108,4,1,
4,2018/11/14 17:26:16.8,106,7,1,
5,2018/11/14 17:26:16.9,106,13,1,No data
6,2018/11/14 17:26:17.0,108,16,1,
7,2018/11/14 17:26:17.1,109,12,1,
8,2018/11/14 17:26:17.2,108,7,1,
9,2018/11/14 17:26:17.3,107,1,1,
10,2018/11/14 17:26:17.4,107,2,1,No data
11,2018/11/14 17:26:17.5,108,1,1,
12,2018/11/14 17:26:17.6,109,2,1,
13,2018/11/14 17:26:17.7,108,6,1,
14,2018/11/14 17:26:17.8,106,7,1,
15,2018/11/14 17:26:17.9,107,8,1,No data
16,2018/11/14 17:26:18.0,108,7,1,
17,2018/11/14 17:26:18.1,109,8,1,
18,2018/11/14 17:26:18.2,108,11,1,
19,2018/11/14 17:26:18.3,106,13,1,
20,2018/11/14 17:26:18.4,106,13,1,No data
21,2018/11/14 17:26:18.5,107,8,1,
22,2018/11/14 17:26:18.6,107,10,1,
23,2018/11/14 17:26:18.7,106,13,1,
24,2018/11/14 17:26:18.8,106,16,1,
25,2018/11/14 17:26:18.9,106,13,1,No data
26,2018/11/14 17:26:19.0,108,10,1,
27,2018/11/14 17:26:19.1,109,10,1,
28,2018/11/14 17:26:19.2,108,11,1,
29,2018/11/14 17:26:19.3,106,11,1,
30,2018/11/14 17:26:19.4,106,9,1,No data
31,2018/11/14 17:26:19.5,106,7,1,
32,2018/11/14 17:26:19.6,107,9,1,
33,2018/11/14 17:26:19.7,106,6,1,
34,2018/11/14 17:26:19.8,105,6,1,
35,2018/11/14 17:26:19.9,106,2,1,No data
36,2018/11/14 17:26:20.0,107,6,1,
37,2018/11/14 17:26:20.1,108,4,1,
38,2018/11/14 17:26:20.2,107,4,1,
39,2018/11/14 17:26:20.3,105,3,1,
