Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 17:36:35.7,85,3,1,
2,2018/11/14 17:36:35.8,85,3,1,
3,2018/11/14 17:36:35.9,83,3,1,
4,2018/11/14 17:36:36.0,83,2,1,
5,2018/11/14 17:36:36.1,84,4,1,No data
6,2018/11/14 17:36:36.2,85,6,1,
7,2018/11/14 17:36:36.3,84,4,1,
8,2018/11/14 17:36:36.4,83,1,1,
9,2018/11/14 17:36:36.5,83,2,1,
10,2018/11/14 17:36:36.6,84,5,1,No data
11,2018/11/14 17:36:36.7,84,9,1,
12,2018/11/14 17:36:36.8,84,6,1,
13,2018/11/14 17:36:36.9,83,2,1,
14,2018/11/14 17:36:37.0,83,3,1,
15,2018/11/14 17:36:37.1,84,2,1,No data
16,2018/11/14 17:36:37.2,85,5,1,
17,2018/11/14 17:36:37.3,85,5,1,
18,2018/11/14 17:36:37.4,85,2,1,
19,2018/11/14 17:36:37.5,84,5,1,
20,2018/11/14 17:36:37.6,85,7,1,No data
21,2018/11/14 17:36:37.7,85,5,1,
22,2018/11/14 17:36:37.8,85,2,1,
23,2018/11/14 17:36:37.9,84,2,1,
24,2018/11/14 17:36:38.0,83,3,1,
25,2018/11/14 17:36:38.1,85,3,1,No data
26,2018/11/14 17:36:38.2,86,1,1,
27,2018/11/14 17:36:38.3,86,4,1,
28,2018/11/14 17:36:38.4,85,7,1,
29,2018/11/14 17:36:38.5,85,3,1,
30,2018/11/14 17:36:38.6,87,1,1,No data
31,2018/11/14 17:36:38.7,87,1,1,
32,2018/11/14 17:36:38.8,86,3,1,
33,2018/11/14 17:36:38.9,85,5,1,
34,2018/11/14 17:36:39.0,85,9,1,
35,2018/11/14 17:36:39.1,86,9,1,No data
36,2018/11/14 17:36:39.2,86,9,1,
37,2018/11/14 17:36:39.3,85,7,1,
38,2018/11/14 17:36:39.4,84,3,1,
39,2018/11/14 17:36:39.5,84,1,1,
40,2018/11/14 17:36:39.6,85,5,1,No data
41,2018/11/14 17:36:39.7,86,8,1,
