Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/09 18:23:50.4,56,12,1,
2,2018/11/09 18:23:50.5,53,11,1,
3,2018/11/09 18:23:50.6,52,12,1,
4,2018/11/09 18:23:50.7,51,17,1,
5,2018/11/09 18:23:50.8,50,22,1,No data
6,2018/11/09 18:23:50.9,47,20,1,
7,2018/11/09 18:23:51.0,48,17,1,
8,2018/11/09 18:23:51.1,46,17,1,
9,2018/11/09 18:23:51.2,44,22,1,
10,2018/11/09 18:23:51.3,42,22,1,No data
11,2018/11/09 18:23:51.4,43,19,1,
12,2018/11/09 18:23:51.5,46,16,1,
13,2018/11/09 18:23:51.6,48,17,1,
14,2018/11/09 18:23:51.7,46,29,1,
15,2018/11/09 18:23:51.8,45,29,1,No data
16,2018/11/09 18:23:51.9,44,28,1,
17,2018/11/09 18:23:52.0,43,19,1,
18,2018/11/09 18:23:52.1,41,21,1,
19,2018/11/09 18:23:52.2,41,26,1,
20,2018/11/09 18:23:52.3,44,21,1,No data
21,2018/11/09 18:23:52.4,47,15,1,
22,2018/11/09 18:23:52.5,46,15,1,
23,2018/11/09 18:23:52.6,42,16,1,
24,2018/11/09 18:23:52.7,41,19,1,
25,2018/11/09 18:23:52.8,41,22,1,No data
26,2018/11/09 18:23:52.9,42,29,1,
27,2018/11/09 18:23:53.0,42,34,1,
28,2018/11/09 18:23:53.1,42,34,1,
29,2018/11/09 18:23:53.2,42,29,1,
30,2018/11/09 18:23:53.3,44,17,1,No data
31,2018/11/09 18:23:53.4,44,17,1,
32,2018/11/09 18:23:53.5,44,19,1,
33,2018/11/09 18:23:53.6,42,30,1,
34,2018/11/09 18:23:53.7,47,24,1,
35,2018/11/09 18:23:53.8,50,19,1,No data
36,2018/11/09 18:23:53.9,54,15,1,
37,2018/11/09 18:23:54.0,52,17,1,
38,2018/11/09 18:23:54.1,51,23,1,
39,2018/11/09 18:23:54.2,48,24,1,
40,2018/11/09 18:23:54.3,47,26,1,No data
41,2018/11/09 18:23:54.4,46,22,1,
42,2018/11/09 18:23:54.5,46,20,1,
43,2018/11/09 18:23:54.6,47,26,1,
44,2018/11/09 18:23:54.7,47,26,1,
45,2018/11/09 18:23:54.8,48,32,1,No data
46,2018/11/09 18:23:54.9,48,31,1,
47,2018/11/09 18:23:55.0,48,33,1,
48,2018/11/09 18:23:55.1,47,25,1,
49,2018/11/09 18:23:55.2,46,23,1,
50,2018/11/09 18:23:55.3,49,20,1,No data
51,2018/11/09 18:23:55.4,52,27,1,
52,2018/11/09 18:23:55.5,53,31,1,
53,2018/11/09 18:23:55.6,53,27,1,
54,2018/11/09 18:23:55.7,54,22,1,
55,2018/11/09 18:23:55.8,54,19,1,No data
56,2018/11/09 18:23:55.9,50,22,1,
