Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/09 18:16:53.0,42,25,1,
2,2018/11/09 18:16:53.1,43,27,1,
3,2018/11/09 18:16:53.2,43,27,1,
4,2018/11/09 18:16:53.3,48,27,1,
5,2018/11/09 18:16:53.4,50,21,1,No data
6,2018/11/09 18:16:53.5,50,18,1,
7,2018/11/09 18:16:53.6,46,20,1,
8,2018/11/09 18:16:53.7,43,18,1,
9,2018/11/09 18:16:53.8,44,19,1,
10,2018/11/09 18:16:53.9,45,16,1,No data
11,2018/11/09 18:16:54.0,45,24,1,
12,2018/11/09 18:16:54.1,44,24,1,
13,2018/11/09 18:16:54.2,42,20,1,
14,2018/11/09 18:16:54.3,41,8,1,
15,2018/11/09 18:16:54.4,42,5,1,No data
16,2018/11/09 18:16:54.5,44,2,1,
17,2018/11/09 18:16:54.6,44,7,1,
18,2018/11/09 18:16:54.7,45,8,1,
19,2018/11/09 18:16:54.8,48,12,1,
20,2018/11/09 18:16:54.9,55,8,1,No data
21,2018/11/09 18:16:55.0,60,6,1,
22,2018/11/09 18:16:55.1,64,8,1,
23,2018/11/09 18:16:55.2,64,14,1,
24,2018/11/09 18:16:55.3,68,13,1,
25,2018/11/09 18:16:55.4,74,7,1,No data
26,2018/11/09 18:16:55.5,77,2,1,
27,2018/11/09 18:16:55.6,93,1,1,
28,2018/11/09 18:16:55.7,106,5,1,
29,2018/11/09 18:16:55.8,109,9,1,
30,2018/11/09 18:16:55.9,92,10,1,No data
31,2018/11/09 18:16:56.0,71,8,1,
32,2018/11/09 18:16:56.1,62,7,1,
33,2018/11/09 18:16:56.2,55,13,1,
34,2018/11/09 18:16:56.3,52,16,1,
35,2018/11/09 18:16:56.4,52,19,1,No data
36,2018/11/09 18:16:56.5,50,20,1,
37,2018/11/09 18:16:56.6,46,23,1,
38,2018/11/09 18:16:56.7,39,25,1,
39,2018/11/09 18:16:56.8,38,24,1,
40,2018/11/09 18:16:56.9,38,25,1,No data
41,2018/11/09 18:16:57.0,40,21,1,
42,2018/11/09 18:16:57.1,39,17,1,
43,2018/11/09 18:16:57.2,37,16,1,
44,2018/11/09 18:16:57.3,37,22,1,
45,2018/11/09 18:16:57.4,39,27,1,No data
46,2018/11/09 18:16:57.5,42,28,1,
47,2018/11/09 18:16:57.6,43,25,1,
48,2018/11/09 18:16:57.7,45,27,1,
49,2018/11/09 18:16:57.8,45,28,1,
50,2018/11/09 18:16:57.9,44,27,1,No data
51,2018/11/09 18:16:58.0,42,29,1,
52,2018/11/09 18:16:58.1,39,21,1,
53,2018/11/09 18:16:58.2,37,9,1,
54,2018/11/09 18:16:58.3,38,1,1,
55,2018/11/09 18:16:58.4,39,1,1,No data
56,2018/11/09 18:16:58.5,40,8,1,
57,2018/11/09 18:16:58.6,38,9,1,
58,2018/11/09 18:16:58.7,35,16,1,
59,2018/11/09 18:16:58.8,35,17,1,
60,2018/11/09 18:16:58.9,34,23,1,No data
61,2018/11/09 18:16:59.0,33,28,1,
62,2018/11/09 18:16:59.1,32,38,1,
63,2018/11/09 18:16:59.2,31,42,1,
64,2018/11/09 18:16:59.3,34,39,1,
65,2018/11/09 18:16:59.4,36,37,1,No data
66,2018/11/09 18:16:59.5,38,38,1,
67,2018/11/09 18:16:59.6,36,46,1,
68,2018/11/09 18:16:59.7,33,53,1,
69,2018/11/09 18:16:59.8,32,48,1,
70,2018/11/09 18:16:59.9,32,37,1,No data
71,2018/11/09 18:17:00.0,33,31,1,
72,2018/11/09 18:17:00.1,33,33,1,
73,2018/11/09 18:17:00.2,32,40,1,
74,2018/11/09 18:17:00.3,33,31,1,
75,2018/11/09 18:17:00.4,34,29,1,No data
76,2018/11/09 18:17:00.5,37,24,1,
77,2018/11/09 18:17:00.6,37,27,1,
78,2018/11/09 18:17:00.7,35,25,1,
79,2018/11/09 18:17:00.8,34,19,1,
80,2018/11/09 18:17:00.9,34,10,1,No data
81,2018/11/09 18:17:01.1,35,0,1,
82,2018/11/09 18:17:01.2,35,3,1,
83,2018/11/09 18:17:01.3,35,8,1,
84,2018/11/09 18:17:01.4,36,17,1,
85,2018/11/09 18:17:01.5,36,13,1,No data
86,2018/11/09 18:17:01.5,36,16,1,
87,2018/11/09 18:17:01.6,34,33,1,
88,2018/11/09 18:17:01.7,33,52,1,
89,2018/11/09 18:17:01.8,33,59,1,
90,2018/11/09 18:17:01.9,36,51,1,No data
91,2018/11/09 18:17:02.0,37,43,1,
92,2018/11/09 18:17:02.1,38,40,1,
93,2018/11/09 18:17:02.2,38,34,1,
94,2018/11/09 18:17:02.3,37,21,1,
95,2018/11/09 18:17:02.4,36,16,1,No data
96,2018/11/09 18:17:02.5,31,34,1,
97,2018/11/09 18:17:02.6,26,46,0,
98,2018/11/09 18:17:02.7,100,40,1,
99,2018/11/09 18:17:02.8,1060,0,1,
100,2018/11/09 18:17:02.9,1060,0,1,No data
101,2018/11/09 18:17:03.0,272,12,1,
102,2018/11/09 18:17:03.1,431,2,1,
103,2018/11/09 18:17:03.2,506,6,1,
104,2018/11/09 18:17:03.3,485,7,1,
105,2018/11/09 18:17:03.4,477,7,1,No data
106,2018/11/09 18:17:03.5,474,8,1,
107,2018/11/09 18:17:03.6,471,8,1,
108,2018/11/09 18:17:03.7,471,8,1,
109,2018/11/09 18:17:03.8,471,8,1,
110,2018/11/09 18:17:03.9,472,8,1,No data
111,2018/11/09 18:17:04.0,472,8,1,
112,2018/11/09 18:17:04.1,470,9,1,
113,2018/11/09 18:17:04.2,469,9,1,
114,2018/11/09 18:17:04.3,469,9,1,
115,2018/11/09 18:17:04.4,469,9,1,No data
116,2018/11/09 18:17:04.5,469,9,1,
117,2018/11/09 18:17:04.6,469,8,1,
118,2018/11/09 18:17:04.7,467,6,1,
119,2018/11/09 18:17:04.8,464,3,1,
120,2018/11/09 18:17:04.9,460,2,1,No data
121,2018/11/09 18:17:05.0,401,1,1,
122,2018/11/09 18:17:05.1,323,2,1,
123,2018/11/09 18:17:05.2,225,3,1,
