Alarm Level :,1000
Storage cycle [sec] :,0.5
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/10/16 16:06:35.3,139,1,1,No data
2,2018/10/16 16:06:35.7,140,3,1,No data
3,2018/10/16 16:06:36.3,138,1,1,No data
4,2018/10/16 16:06:36.7,143,1,1,No data
5,2018/10/16 16:06:37.2,147,1,1,No data
6,2018/10/16 16:06:37.7,162,0,1,No data
7,2018/10/16 16:06:38.3,194,4,1,No data
8,2018/10/16 16:06:38.7,185,3,1,No data
9,2018/10/16 16:06:39.3,175,4,1,No data
10,2018/10/16 16:06:39.8,183,0,1,No data
11,2018/10/16 16:06:40.3,186,4,1,No data
12,2018/10/16 16:06:40.7,189,0,1,No data
13,2018/10/16 16:06:41.2,205,3,1,No data
14,2018/10/16 16:06:41.7,700,2,1,No data
15,2018/10/16 16:06:42.2,722,7,1,No data
16,2018/10/16 16:06:42.7,723,1,1,No data
17,2018/10/16 16:06:43.2,731,0,1,No data
18,2018/10/16 16:06:43.8,661,3,1,No data
19,2018/10/16 16:06:44.2,115,4,1,No data
20,2018/10/16 16:06:44.9,915,2,1,No data
21,2018/10/16 16:06:45.3,89,15,1,No data
22,2018/10/16 16:06:45.8,409,9,1,No data
23,2018/10/16 16:06:46.4,296,0,1,No data
24,2018/10/16 16:06:46.9,207,3,1,No data
25,2018/10/16 16:06:47.3,88,1,1,No data
26,2018/10/16 16:06:47.8,271,1,1,No data
27,2018/10/16 16:06:48.4,570,1,1,No data
28,2018/10/16 16:06:48.8,791,1,1,No data
29,2018/10/16 16:06:49.4,461,7,1,No data
30,2018/10/16 16:06:50.0,611,8,1,No data
31,2018/10/16 16:06:50.5,717,1,1,No data
32,2018/10/16 16:06:50.8,377,2,1,No data
33,2018/10/16 16:06:51.3,421,2,1,No data
34,2018/10/16 16:06:51.9,607,2,1,No data
35,2018/10/16 16:06:52.3,631,5,1,No data
36,2018/10/16 16:06:52.8,392,2,1,No data
37,2018/10/16 16:06:53.3,662,2,1,No data
38,2018/10/16 16:06:53.8,661,2,1,No data
39,2018/10/16 16:06:54.3,705,1,1,No data
40,2018/10/16 16:06:55.0,653,1,1,No data
41,2018/10/16 16:06:55.4,740,2,1,No data
42,2018/10/16 16:06:55.8,621,0,1,No data
43,2018/10/16 16:06:56.3,708,2,1,No data
44,2018/10/16 16:06:56.8,559,0,1,No data
45,2018/10/16 16:06:57.3,397,4,1,No data
46,2018/10/16 16:06:58.0,677,3,1,No data
47,2018/10/16 16:06:58.3,723,7,1,No data
48,2018/10/16 16:06:58.9,710,5,1,No data
