-2, 0, 2, 4
2018/11/09/17:27:25.719, 10000, 10000,
2018/11/09/17:27:25.734, 882, -404,
2018/11/09/17:27:25.781, 725, -452,
2018/11/09/17:27:26.625, 283, -536,
2018/11/09/17:27:26.641, 283, -536,
2018/11/09/17:27:26.672, 11, -550,
2018/11/09/17:27:26.703, 8, -452,
2018/11/09/17:27:26.734, 228, -444,
2018/11/09/17:27:26.766, 432, -423,
2018/11/09/17:27:26.797, 609, -393,
2018/11/09/17:27:26.828, 758, -360,
2018/11/09/17:27:26.859, 661, -322,
2018/11/09/17:27:26.891, 523, -344,
2018/11/09/17:27:26.922, 365, -364,
2018/11/09/17:27:26.953, 191, -378,
2018/11/09/17:27:26.984, 7, -382,
2018/11/09/17:27:27.016, 6, -331,
2018/11/09/17:27:27.047, 164, -328,
2018/11/09/17:27:27.078, 316, -319,
2018/11/09/17:27:27.109, 457, -305,
2018/11/09/17:27:27.187, 584, -289,
2018/11/09/17:27:27.219, 521, -262,
2018/11/09/17:27:27.250, 405, -273,
2018/11/09/17:27:27.281, 278, -283,
2018/11/09/17:27:27.312, 144, -289,
2018/11/09/17:27:27.344, 5, -291,
-2, 0, 2, 4
2018/11/09/17:36:09.015, 10000, 10000,
2018/11/09/17:36:09.046, 882, -404,
2018/11/09/17:36:09.077, 725, -452,
2018/11/09/17:36:09.109, 526, -499,
2018/11/09/17:36:09.127, 283, -536,
2018/11/09/17:36:09.173, 11, -550,
2018/11/09/17:36:09.205, 8, -452,
2018/11/09/17:36:09.252, 228, -444,
2018/11/09/17:36:09.283, 432, -423,
2018/11/09/17:36:09.314, 609, -393,
2018/11/09/17:36:09.345, 758, -360,
2018/11/09/17:36:09.377, 661, -322,
2018/11/09/17:36:09.408, 523, -344,
2018/11/09/17:36:09.455, 365, -364,
2018/11/09/17:36:09.501, 191, -378,
2018/11/09/17:36:09.533, 7, -382,
2018/11/09/17:36:09.564, 6, -331,
2018/11/09/17:36:09.595, 164, -328,
2018/11/09/17:36:09.626, 316, -319,
2018/11/09/17:36:09.658, 457, -305,
2018/11/09/17:36:09.689, 584, -289,
2018/11/09/17:36:09.720, 521, -262,
2018/11/09/17:36:09.751, 405, -273,
2018/11/09/17:36:09.783, 278, -283,
2018/11/09/17:36:09.814, 144, -289,
2018/11/09/17:36:09.845, 5, -291,
-2, 0, 2, 4
2018/11/09/17:37:48.624, 10000, 10000,
2018/11/09/17:37:48.656, 882, -404,
2018/11/09/17:37:48.687, 725, -452,
2018/11/09/17:37:48.718, 526, -499,
2018/11/09/17:37:48.749, 283, -536,
2018/11/09/17:37:48.781, 11, -550,
2018/11/09/17:37:48.828, 8, -452,
2018/11/09/17:37:48.859, 228, -444,
2018/11/09/17:37:48.890, 432, -423,
2018/11/09/17:37:48.921, 609, -393,
2018/11/09/17:37:48.953, 758, -360,
2018/11/09/17:37:48.984, 661, -322,
2018/11/09/17:37:49.015, 523, -344,
2018/11/09/17:37:49.046, 365, -364,
2018/11/09/17:37:49.078, 191, -378,
2018/11/09/17:37:49.109, 7, -382,
2018/11/09/17:37:49.129, 6, -331,
2018/11/09/17:37:49.176, 164, -328,
2018/11/09/17:37:49.207, 316, -319,
2018/11/09/17:37:49.238, 457, -305,
2018/11/09/17:37:49.269, 584, -289,
2018/11/09/17:37:49.301, 521, -262,
2018/11/09/17:37:49.332, 405, -273,
2018/11/09/17:37:49.363, 278, -283,
2018/11/09/17:37:49.394, 144, -289,
2018/11/09/17:37:49.426, 5, -291,
-2, 0, 2, 4
2018/11/09/17:40:17.736, 10000, 10000,
2018/11/09/17:40:17.767, 882, -404,
2018/11/09/17:40:17.923, 725, -452,
2018/11/09/17:40:17.970, 526, -499,
2018/11/09/17:40:18.001, 283, -536,
2018/11/09/17:40:18.048, 11, -550,
2018/11/09/17:40:18.079, 8, -452,
2018/11/09/17:40:18.111, 228, -444,
2018/11/09/17:40:18.142, 432, -423,
2018/11/09/17:40:18.173, 609, -393,
2018/11/09/17:40:18.204, 758, -360,
2018/11/09/17:40:18.236, 661, -322,
2018/11/09/17:40:18.267, 523, -344,
2018/11/09/17:40:18.298, 365, -364,
2018/11/09/17:40:18.329, 191, -378,
2018/11/09/17:40:18.361, 7, -382,
2018/11/09/17:40:18.392, 6, -331,
2018/11/09/17:40:18.423, 164, -328,
2018/11/09/17:40:18.454, 316, -319,
2018/11/09/17:40:18.486, 457, -305,
2018/11/09/17:40:18.517, 584, -289,
2018/11/09/17:40:18.548, 521, -262,
2018/11/09/17:40:18.579, 405, -273,
2018/11/09/17:40:18.611, 278, -283,
2018/11/09/17:40:18.642, 144, -289,
2018/11/09/17:40:18.673, 5, -291,
