Alarm Level :,1000
Storage cycle [sec] :,0.1
Average :,ON
Unit :,ppm-m
Distance [m] :,

No,yyyy/mm/dd hh:mm:ss.s,Intensity,Measured Value,Error,Location
1,2018/11/14 19:03:41.6,96,12,1,
2,2018/11/14 19:03:41.7,96,14,1,
3,2018/11/14 19:03:41.8,95,12,1,
4,2018/11/14 19:03:41.9,95,13,1,
5,2018/11/14 19:03:42.0,95,10,1,No data
6,2018/11/14 19:03:42.1,96,6,1,
7,2018/11/14 19:03:42.2,96,4,1,
8,2018/11/14 19:03:42.3,95,7,1,
9,2018/11/14 19:03:42.4,94,11,1,
10,2018/11/14 19:03:42.5,95,10,1,No data
11,2018/11/14 19:03:42.6,96,9,1,
12,2018/11/14 19:03:42.7,97,10,1,
13,2018/11/14 19:03:42.8,96,7,1,
14,2018/11/14 19:03:42.9,96,5,1,
15,2018/11/14 19:03:43.0,97,5,1,No data
16,2018/11/14 19:03:43.1,98,6,1,
17,2018/11/14 19:03:43.2,98,6,1,
18,2018/11/14 19:03:43.3,97,6,1,
19,2018/11/14 19:03:43.4,97,6,1,
20,2018/11/14 19:03:43.5,97,8,1,No data
21,2018/11/14 19:03:43.6,98,11,1,
22,2018/11/14 19:03:43.7,98,12,1,
23,2018/11/14 19:03:43.8,97,9,1,
24,2018/11/14 19:03:43.9,97,6,1,
25,2018/11/14 19:03:44.0,97,9,1,No data
26,2018/11/14 19:03:44.1,98,9,1,
27,2018/11/14 19:03:44.2,98,7,1,
28,2018/11/14 19:03:44.3,97,4,1,
29,2018/11/14 19:03:44.4,96,3,1,
30,2018/11/14 19:03:44.5,97,5,1,No data
31,2018/11/14 19:03:44.6,97,5,1,
32,2018/11/14 19:03:44.7,98,7,1,
33,2018/11/14 19:03:44.8,97,7,1,
34,2018/11/14 19:03:44.9,97,6,1,
35,2018/11/14 19:03:45.0,99,5,1,No data
36,2018/11/14 19:03:45.1,100,7,1,
37,2018/11/14 19:03:45.2,100,12,1,
38,2018/11/14 19:03:45.3,98,15,1,
39,2018/11/14 19:03:45.4,98,16,1,
40,2018/11/14 19:03:45.5,99,15,1,No data
41,2018/11/14 19:03:45.6,100,13,1,
42,2018/11/14 19:03:45.7,99,10,1,
43,2018/11/14 19:03:45.8,99,8,1,
44,2018/11/14 19:03:45.9,98,5,1,
45,2018/11/14 19:03:46.0,98,8,1,No data
46,2018/11/14 19:03:46.1,98,13,1,
47,2018/11/14 19:03:46.2,98,17,1,
48,2018/11/14 19:03:46.3,96,16,1,
49,2018/11/14 19:03:46.4,90,16,1,
50,2018/11/14 19:03:46.5,86,12,1,No data
51,2018/11/14 19:03:46.6,117,9,1,
52,2018/11/14 19:03:46.7,164,3,1,
53,2018/11/14 19:03:46.8,212,2,1,
54,2018/11/14 19:03:46.9,225,1,1,
55,2018/11/14 19:03:47.0,224,5,1,No data
56,2018/11/14 19:03:47.1,219,14,1,
57,2018/11/14 19:03:47.2,214,22,1,
58,2018/11/14 19:03:47.3,212,28,1,
59,2018/11/14 19:03:47.4,212,30,1,
60,2018/11/14 19:03:47.5,213,31,1,No data
61,2018/11/14 19:03:47.6,214,33,1,
62,2018/11/14 19:03:47.7,214,35,1,
63,2018/11/14 19:03:47.8,212,37,1,
64,2018/11/14 19:03:47.9,211,35,1,
65,2018/11/14 19:03:48.0,210,28,1,No data
66,2018/11/14 19:03:48.1,211,18,1,
67,2018/11/14 19:03:48.2,214,9,1,
68,2018/11/14 19:03:48.3,253,3,1,
69,2018/11/14 19:03:48.4,314,2,1,
70,2018/11/14 19:03:48.5,369,2,1,No data
71,2018/11/14 19:03:48.6,403,1,1,
72,2018/11/14 19:03:48.7,417,6,1,
73,2018/11/14 19:03:48.8,435,16,1,
74,2018/11/14 19:03:48.9,441,13,1,
75,2018/11/14 19:03:49.0,443,2,1,No data
76,2018/11/14 19:03:49.1,448,9,1,
77,2018/11/14 19:03:49.2,449,17,1,
78,2018/11/14 19:03:49.3,452,17,1,
79,2018/11/14 19:03:49.4,454,10,1,
80,2018/11/14 19:03:49.5,462,7,1,No data
81,2018/11/14 19:03:49.6,444,5,1,
82,2018/11/14 19:03:49.7,415,4,1,
83,2018/11/14 19:03:49.8,375,3,1,
84,2018/11/14 19:03:49.9,360,1,1,
85,2018/11/14 19:03:50.0,345,12,1,No data
86,2018/11/14 19:03:50.1,283,156,1,
87,2018/11/14 19:03:50.2,208,397,1,
88,2018/11/14 19:03:50.3,197,428,1,
89,2018/11/14 19:03:50.4,263,300,1,
90,2018/11/14 19:03:50.5,353,65,1,No data
91,2018/11/14 19:03:50.6,393,26,1,
92,2018/11/14 19:03:50.7,411,5,1,
93,2018/11/14 19:03:50.8,419,2,1,
94,2018/11/14 19:03:50.9,429,2,1,
95,2018/11/14 19:03:51.0,439,0,1,No data
96,2018/11/14 19:03:51.1,439,7,1,
97,2018/11/14 19:03:51.2,427,10,1,
98,2018/11/14 19:03:51.3,408,5,1,
99,2018/11/14 19:03:51.4,378,2,1,
100,2018/11/14 19:03:51.5,340,2,1,No data
101,2018/11/14 19:03:51.6,309,7,1,
102,2018/11/14 19:03:51.7,304,12,1,
103,2018/11/14 19:03:51.8,292,9,1,
104,2018/11/14 19:03:51.9,281,9,1,
105,2018/11/14 19:03:52.0,273,7,1,No data
106,2018/11/14 19:03:52.1,284,7,1,
107,2018/11/14 19:03:52.2,295,3,1,
108,2018/11/14 19:03:52.3,297,2,1,
109,2018/11/14 19:03:52.4,289,6,1,
110,2018/11/14 19:03:52.5,320,13,1,No data
111,2018/11/14 19:03:52.6,372,18,1,
112,2018/11/14 19:03:52.7,439,17,1,
113,2018/11/14 19:03:52.8,469,11,1,
114,2018/11/14 19:03:52.9,479,10,1,
115,2018/11/14 19:03:53.0,484,10,1,No data
116,2018/11/14 19:03:53.1,485,10,1,
117,2018/11/14 19:03:53.2,484,10,1,
118,2018/11/14 19:03:53.3,482,11,1,
119,2018/11/14 19:03:53.4,482,12,1,
120,2018/11/14 19:03:53.5,483,12,1,No data
121,2018/11/14 19:03:53.6,490,13,1,
122,2018/11/14 19:03:53.7,532,11,1,
123,2018/11/14 19:03:53.8,590,2,1,
124,2018/11/14 19:03:53.9,644,13,1,
125,2018/11/14 19:03:54.0,667,26,1,No data
126,2018/11/14 19:03:54.1,674,29,1,
127,2018/11/14 19:03:54.2,680,26,1,
128,2018/11/14 19:03:54.3,685,20,1,
129,2018/11/14 19:03:54.4,689,14,1,
130,2018/11/14 19:03:54.5,693,7,1,No data
131,2018/11/14 19:03:54.6,693,1,1,
132,2018/11/14 19:03:54.7,689,2,1,
133,2018/11/14 19:03:54.8,684,2,1,
134,2018/11/14 19:03:54.9,678,6,1,
135,2018/11/14 19:03:55.0,689,16,1,No data
136,2018/11/14 19:03:55.1,714,10,1,
137,2018/11/14 19:03:55.2,753,6,1,
138,2018/11/14 19:03:55.3,784,20,1,
139,2018/11/14 19:03:55.4,803,20,1,
140,2018/11/14 19:03:55.5,812,15,1,No data
141,2018/11/14 19:03:55.6,814,15,1,
142,2018/11/14 19:03:55.7,816,18,1,
143,2018/11/14 19:03:55.8,816,25,1,
144,2018/11/14 19:03:55.9,816,29,1,
145,2018/11/14 19:03:56.0,814,27,1,No data
146,2018/11/14 19:03:56.1,813,21,1,
147,2018/11/14 19:03:56.2,812,23,1,
148,2018/11/14 19:03:56.3,765,20,1,
149,2018/11/14 19:03:56.4,678,19,1,
150,2018/11/14 19:03:56.5,572,10,1,No data
151,2018/11/14 19:03:56.6,508,4,1,
152,2018/11/14 19:03:56.7,482,18,1,
153,2018/11/14 19:03:56.8,474,32,1,
154,2018/11/14 19:03:56.9,472,35,1,
155,2018/11/14 19:03:57.0,472,38,1,No data
156,2018/11/14 19:03:57.1,473,38,1,
157,2018/11/14 19:03:57.2,472,37,1,
158,2018/11/14 19:03:57.3,472,41,1,
159,2018/11/14 19:03:57.4,472,45,1,
160,2018/11/14 19:03:57.5,473,44,1,No data
161,2018/11/14 19:03:57.6,467,32,1,
162,2018/11/14 19:03:57.7,454,22,1,
163,2018/11/14 19:03:57.8,432,13,1,
164,2018/11/14 19:03:57.9,419,22,1,
165,2018/11/14 19:03:58.0,429,40,1,No data
166,2018/11/14 19:03:58.1,450,64,1,
167,2018/11/14 19:03:58.2,472,90,1,
168,2018/11/14 19:03:58.3,484,98,1,
169,2018/11/14 19:03:58.4,491,93,1,
170,2018/11/14 19:03:58.5,494,85,1,No data
171,2018/11/14 19:03:58.6,489,67,1,
172,2018/11/14 19:03:58.7,482,60,1,
173,2018/11/14 19:03:58.8,475,43,1,
174,2018/11/14 19:03:58.9,473,38,1,
175,2018/11/14 19:03:59.0,473,28,1,No data
176,2018/11/14 19:03:59.1,470,16,1,
177,2018/11/14 19:03:59.2,466,9,1,
178,2018/11/14 19:03:59.3,420,2,1,
179,2018/11/14 19:03:59.4,362,10,1,
180,2018/11/14 19:03:59.5,293,25,1,No data
181,2018/11/14 19:03:59.6,262,47,1,
182,2018/11/14 19:03:59.7,244,63,1,
183,2018/11/14 19:03:59.8,238,76,1,
184,2018/11/14 19:03:59.9,238,79,1,
185,2018/11/14 19:04:00.0,240,72,1,No data
186,2018/11/14 19:04:00.1,241,51,1,
